EC-Lab ASCII FILE
Nb header lines : 63                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -5.00 V, max = 5.00 V
Ewe,I filtering : <None>
Safety Limits :
	Do not start on E overload
Channel : Floating
Acquisition started on : 03/09/2026 12:28:28.295
Technique started on : 03/09/2026 12:28:31.133
Loaded Setting File :  C:\Users\volt\Documents\Platalytix\PtPdCoNi_N52magB_up_3-5_01_ZIR_C01.mpr
Saved on :
	File : PtPdCoNi_N52magA_flat_3-9_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 127.0.0.1
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : PtPdNiCo
Initial state : 
Electrolyte : KOH (1M)
Comments : Magnet side A, flat position
Cable : standard
Reference electrode : Hg/HgO (0.140 V)
Electrode surface area : 1.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              -0.200              
vs.                 Eoc                 
EL (V)              -2.500              
vs.                 Eoc                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -5.000              
E range max (V)     5.000               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

Rwe/Ohm	time/s	Ewe/V	<I>/mA	Pwe/W	control/V	error	
0.0000000E+000	2.838400134787662E+000	-1.4328471E-001	0.000000000000000E+000	0.0000000E+000	0.0000000E+000	0
0.0000000E+000	7.838200008482090E+000	-3.3617415E-002	0.000000000000000E+000	0.0000000E+000	-2.3361675E-001	0
1.4840793E+003	8.038200003429665E+000	-2.3541467E-001	-1.586267369240523E-001	3.7343059E-005	-2.3551653E-001	0
1.1945402E+003	8.158200000398210E+000	-2.3656055E-001	-1.980348258402813E-001	4.6847228E-005	-2.3671660E-001	0
1.3850271E+003	8.368199995093164E+000	-2.3869058E-001	-1.723363978393333E-001	4.1135074E-005	-2.3881659E-001	0
1.5383573E+003	8.568199990040739E+000	-2.4067254E-001	-1.564477552457071E-001	3.7652680E-005	-2.4081650E-001	0
1.6616656E+003	8.768199984988314E+000	-2.4265386E-001	-1.460305014097229E-001	3.5434867E-005	-2.4281643E-001	0
1.7667737E+003	8.968199979935889E+000	-2.4466510E-001	-1.384812904830154E-001	3.3881541E-005	-2.4481638E-001	0
1.8570225E+003	9.168199974883464E+000	-2.4666487E-001	-1.328281566992722E-001	3.2764041E-005	-2.4681631E-001	0
1.9363826E+003	9.368199969831039E+000	-2.4864854E-001	-1.284087916388437E-001	3.1928659E-005	-2.4881624E-001	0
2.0101084E+003	9.568199964778614E+000	-2.5066361E-001	-1.247015367526047E-001	3.1258136E-005	-2.5081617E-001	0
2.0771345E+003	9.768199959726189E+000	-2.5268289E-001	-1.216497541523520E-001	3.0738811E-005	-2.5281611E-001	0
2.1385676E+003	9.968199954673764E+000	-2.5465080E-001	-1.190753965448510E-001	3.0322644E-005	-2.5481603E-001	0
2.1974768E+003	1.016819994962134E+001	-2.5669327E-001	-1.168127391791465E-001	2.9985045E-005	-2.5681597E-001	0
2.2529531E+003	1.036819994456891E+001	-2.5869748E-001	-1.148259515753718E-001	2.9705185E-005	-2.5881588E-001	0
2.3050823E+003	1.056819993951649E+001	-2.6063171E-001	-1.130682865776493E-001	2.9469182E-005	-2.6081583E-001	0
2.3537336E+003	1.076819993446406E+001	-2.6265436E-001	-1.115905193616201E-001	2.9309736E-005	-2.6281577E-001	0
2.4025562E+003	1.096819992941164E+001	-2.6464167E-001	-1.101500509494744E-001	2.9150293E-005	-2.6481572E-001	0
2.4481479E+003	1.116819992435921E+001	-2.6666328E-001	-1.089244983085096E-001	2.9046165E-005	-2.6681563E-001	0
2.4928503E+003	1.136819991930679E+001	-2.6865882E-001	-1.077717374682914E-001	2.8953827E-005	-2.6881558E-001	0
2.5358323E+003	1.156819991425436E+001	-2.7066624E-001	-1.067366513862883E-001	2.8890008E-005	-2.7081549E-001	0
2.5788516E+003	1.176819990920194E+001	-2.7267471E-001	-1.057349366722988E-001	2.8831244E-005	-2.7281541E-001	0
2.6180215E+003	1.196819990414951E+001	-2.7463266E-001	-1.049008408863341E-001	2.8809198E-005	-2.7481535E-001	0
2.6574644E+003	1.216819989909709E+001	-2.7666596E-001	-1.041089976280336E-001	2.8803415E-005	-2.7681530E-001	0
2.6988259E+003	1.236819989404466E+001	-2.7869251E-001	-1.032643536783655E-001	2.8779003E-005	-2.7881521E-001	0
2.7345042E+003	1.256819988899224E+001	-2.8059912E-001	-1.026142562386867E-001	2.8793469E-005	-2.8081515E-001	0
2.7756016E+003	1.276819988393981E+001	-2.8266594E-001	-1.018395250939816E-001	2.8786564E-005	-2.8281507E-001	0
2.8099719E+003	1.296819987888739E+001	-2.8463283E-001	-1.012938387275940E-001	2.8831551E-005	-2.8481498E-001	0
2.8465066E+003	1.316819987383496E+001	-2.8664896E-001	-1.007020187885196E-001	2.8866129E-005	-2.8681493E-001	0
2.8835823E+003	1.336819986878254E+001	-2.8876966E-001	-1.001426831612158E-001	2.8918168E-005	-2.8881484E-001	0
2.9176504E+003	1.356809986373264E+001	-2.9067039E-001	-9.962481857382977E-002	2.8957986E-005	-2.9081568E-001	0
2.9505767E+003	1.376799985868274E+001	-2.9266083E-001	-9.918766897467446E-002	2.9028346E-005	-2.9281473E-001	0
2.9859521E+003	1.396799985363032E+001	-2.9464722E-001	-9.867781128252906E-002	2.9075143E-005	-2.9481465E-001	0
3.0192698E+003	1.416799984857789E+001	-2.9669639E-001	-9.826759783584915E-002	2.9155643E-005	-2.9681459E-001	0
3.0502954E+003	1.436799984352547E+001	-2.9860476E-001	-9.789372040296707E-002	2.9231531E-005	-2.9881454E-001	0
3.0838394E+003	1.456799983847304E+001	-3.0070931E-001	-9.751134248748183E-002	2.9322568E-005	-3.0081445E-001	0
3.1161516E+003	1.476799983342062E+001	-3.0266753E-001	-9.712862405691614E-002	2.9397681E-005	-3.0281436E-001	0
3.1480161E+003	1.496799982836819E+001	-3.0466813E-001	-9.678099282368871E-002	2.9486084E-005	-3.0481428E-001	0
3.1781135E+003	1.516799982331577E+001	-3.0666664E-001	-9.649329670639434E-002	2.9591276E-005	-3.0681422E-001	0
3.2113574E+003	1.536799981826334E+001	-3.0865642E-001	-9.611400823233474E-002	2.9666206E-005	-3.0881417E-001	0
3.2411050E+003	1.556799981321092E+001	-3.1066850E-001	-9.585265111222510E-002	2.9778399E-005	-3.1081411E-001	0
3.2734534E+003	1.576799980815849E+001	-3.1271052E-001	-9.552924286747277E-002	2.9872999E-005	-3.1281403E-001	0
3.3000776E+003	1.596799980310607E+001	-3.1468359E-001	-9.535641587485078E-002	3.0007099E-005	-3.1481397E-001	0
3.3327805E+003	1.616799979805364E+001	-3.1670645E-001	-9.502769499920039E-002	3.0095884E-005	-3.1681389E-001	0
3.3622764E+003	1.636799979300122E+001	-3.1868967E-001	-9.478390124170250E-002	3.0206651E-005	-3.1881380E-001	0
3.3892598E+003	1.656799978794879E+001	-3.2064298E-001	-9.460560712845090E-002	3.0334624E-005	-3.2081378E-001	0
3.4215391E+003	1.676799978289637E+001	-3.2264808E-001	-9.429910633598970E-002	3.0425426E-005	-3.2281366E-001	0
3.4494038E+003	1.696799977784394E+001	-3.2461920E-001	-9.410878543556089E-002	3.0549520E-005	-3.2481360E-001	0
3.4808323E+003	1.716799977279152E+001	-3.2669345E-001	-9.385497754391137E-002	3.0661806E-005	-3.2681355E-001	0
3.5089229E+003	1.736799976773909E+001	-3.2869557E-001	-9.367420813945193E-002	3.0790296E-005	-3.2881349E-001	0
3.5392576E+003	1.756799976268667E+001	-3.3069259E-001	-9.343557875780822E-002	3.0898453E-005	-3.3081341E-001	0
3.5665862E+003	1.776799975763424E+001	-3.3262360E-001	-9.326106005732626E-002	3.1020831E-005	-3.3281332E-001	0
3.5987925E+003	1.796799975258182E+001	-3.3466944E-001	-9.299492508398943E-002	3.1122559E-005	-3.3481327E-001	0
3.6268438E+003	1.816799974752939E+001	-3.3667365E-001	-9.282827547217054E-002	3.1252835E-005	-3.3681318E-001	0
3.6550876E+003	1.836799974247697E+001	-3.3867934E-001	-9.265970202825979E-002	3.1381926E-005	-3.3881313E-001	0
3.6869136E+003	1.856799973742454E+001	-3.4073430E-001	-9.241722273807151E-002	3.1489719E-005	-3.4081307E-001	0
3.7121174E+003	1.876799973237212E+001	-3.4266853E-001	-9.231079933117392E-002	3.1632007E-005	-3.4281299E-001	0
3.7433167E+003	1.896799972731969E+001	-3.4469143E-001	-9.208182505143991E-002	3.1739815E-005	-3.4481293E-001	0
3.7715120E+003	1.916789972226979E+001	-3.4664276E-001	-9.191081909417620E-002	3.1860221E-005	-3.4681219E-001	0
3.7983657E+003	1.936779971721990E+001	-3.4869882E-001	-9.180232994480153E-002	3.2011365E-005	-3.4881279E-001	0
3.8294736E+003	1.956779971216747E+001	-3.5065469E-001	-9.156733267473882E-002	3.2108514E-005	-3.5081270E-001	0
3.8587805E+003	1.976779970711505E+001	-3.5269880E-001	-9.140162447429434E-002	3.2237243E-005	-3.5281262E-001	0
3.8855056E+003	1.996779970206262E+001	-3.5463938E-001	-9.127238907908319E-002	3.2368782E-005	-3.5481256E-001	0
3.9146643E+003	2.016779969701020E+001	-3.5664761E-001	-9.110553916269160E-002	3.2492571E-005	-3.5681251E-001	0
3.9410273E+003	2.036779969195777E+001	-3.5865611E-001	-9.100573884678020E-002	3.2639764E-005	-3.5881242E-001	0
3.9695151E+003	2.056779968690535E+001	-3.6062557E-001	-9.084876904859640E-002	3.2762389E-005	-3.6081237E-001	0
4.0005754E+003	2.076779968185292E+001	-3.6263046E-001	-9.064457555039601E-002	3.2870485E-005	-3.6281231E-001	0
4.0286250E+003	2.096779967680050E+001	-3.6466059E-001	-9.051738132230591E-002	3.3008120E-005	-3.6481220E-001	0
4.0564868E+003	2.116779967174807E+001	-3.6664078E-001	-9.038382309780424E-002	3.3138396E-005	-3.6681220E-001	0
4.0877539E+003	2.136779966669565E+001	-3.6865541E-001	-9.018532583614691E-002	3.3247310E-005	-3.6881205E-001	0
4.1144824E+003	2.156779966164322E+001	-3.7059283E-001	-9.007034213662291E-002	3.3379423E-005	-3.7081203E-001	0
4.1465532E+003	2.176779965659080E+001	-3.7259641E-001	-8.985689921302442E-002	3.3480359E-005	-3.7281194E-001	0
4.1740596E+003	2.196779965153837E+001	-3.7458873E-001	-8.974206843941368E-002	3.3616368E-005	-3.7481189E-001	0
4.2032178E+003	2.216779964648595E+001	-3.7663287E-001	-8.960584139022698E-002	3.3748503E-005	-3.7681183E-001	0
4.2305186E+003	2.236779964143352E+001	-3.7870908E-001	-8.951835989341755E-002	3.3901415E-005	-3.7881172E-001	0
4.2601621E+003	2.256779963638110E+001	-3.8061568E-001	-8.934300415779660E-002	3.4005348E-005	-3.8081166E-001	0
4.2878306E+003	2.276779963132867E+001	-3.8263243E-001	-8.923683313350876E-002	3.4144905E-005	-3.8281158E-001	0
4.3178501E+003	2.296779962627625E+001	-3.8464680E-001	-8.908294719356669E-002	3.4265471E-005	-3.8481152E-001	0
4.3446875E+003	2.316779962122382E+001	-3.8666591E-001	-8.899740487349783E-002	3.4412264E-005	-3.8681147E-001	0
4.3768745E+003	2.336779961617140E+001	-3.8866740E-001	-8.880021709520092E-002	3.4513749E-005	-3.8881135E-001	0
4.4064634E+003	2.356779961111897E+001	-3.9063936E-001	-8.865144939791181E-002	3.4630746E-005	-3.9081135E-001	0
4.4382930E+003	2.376779960606655E+001	-3.9266464E-001	-8.847199619880763E-002	3.4739824E-005	-3.9281124E-001	0
