EC-Lab ASCII FILE
Nb header lines : 63                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -5.00 V, max = 10.00 V
Ewe,I filtering : <None>
Safety Limits :
	Do not start on E overload
Channel : Floating
Acquisition started on : 03/05/2026 16:59:51.126
Technique started on : 03/05/2026 16:59:53.963
Loaded Setting File :  C:\Users\volt\Documents\Platalytix\Pt_N52magB_flat_3-5.mps
Saved on :
	File : PtPdCoNi_N52magA_up_3-5_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 127.0.0.1
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : PtPdCoNi
Initial state : 
Electrolyte : KOH (1 M)
Comments : N52 disk magnet, A side up (+), flat orientation
Cable : standard
Reference electrode : Hg/HgO (0.140 V)
Electrode surface area : 1.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              -0.200              
vs.                 Ref                 
EL (V)              -2.500              
vs.                 Ref                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -5.000              
E range max (V)     10.000              
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

Rwe/Ohm	time/s	Ewe/V	<I>/mA	Pwe/W	control/V	error	
0.0000000E+000	2.837400134740165E+000	-1.3937424E-001	0.000000000000000E+000	0.0000000E+000	0.0000000E+000	0
0.0000000E+000	7.837200008434593E+000	-1.8455662E-002	0.000000000000000E+000	0.0000000E+000	-1.9995478E-001	0
9.6994922E+002	8.017600003877305E+000	-2.0168832E-001	-2.079369872808456E-001	4.1938463E-005	-2.0160645E-001	0
7.7452368E+002	8.078400002341368E+000	-2.0223707E-001	-2.611115301315394E-001	5.2806430E-005	-2.0221497E-001	0
8.5729346E+002	8.318899996265827E+000	-2.0469128E-001	-2.387645450623692E-001	4.8873018E-005	-2.0462027E-001	0
1.0219608E+003	8.604099989061069E+000	-2.0753655E-001	-2.030768327094998E-001	4.2145864E-005	-2.0747206E-001	0
1.1202889E+003	8.829599983364460E+000	-2.0981552E-001	-1.872869762466185E-001	3.9295715E-005	-2.0972735E-001	0
1.2028285E+003	9.114799976159702E+000	-2.1267000E-001	-1.768082529959394E-001	3.7601811E-005	-2.1257937E-001	0
1.2869000E+003	9.414799968581065E+000	-2.1564110E-001	-1.675663081762262E-001	3.6134181E-005	-2.1557936E-001	0
1.3603832E+003	9.714799961002427E+000	-2.1864767E-001	-1.607250626902506E-001	3.5142162E-005	-2.1857935E-001	0
1.4254417E+003	1.001469995342632E+001	-2.2166021E-001	-1.555028291001941E-001	3.4468791E-005	-2.2157848E-001	0
1.4866929E+003	1.031459994585020E+001	-2.2464596E-001	-1.511044860971991E-001	3.3945013E-005	-2.2457758E-001	0
1.5434659E+003	1.061459993827157E+001	-2.2769353E-001	-1.475209304560503E-001	3.3589560E-005	-2.2757736E-001	0
1.5972755E+003	1.091459993069293E+001	-2.3070425E-001	-1.444361012111375E-001	3.3322023E-005	-2.3057736E-001	0
1.6489120E+003	1.121479992310924E+001	-2.3368391E-001	-1.417200646932466E-001	3.3117700E-005	-2.3357959E-001	0
1.6974081E+003	1.151479991553060E+001	-2.3666009E-001	-1.394243952056746E-001	3.2996191E-005	-2.3657957E-001	0
1.7452469E+003	1.181479990795197E+001	-2.3969196E-001	-1.373398569180990E-001	3.2919259E-005	-2.3957935E-001	0
1.7917848E+003	1.211469990037585E+001	-2.4264318E-001	-1.354198209769684E-001	3.2858694E-005	-2.4257846E-001	0
1.8371105E+003	1.241459989279974E+001	-2.4568284E-001	-1.337332933854478E-001	3.2855976E-005	-2.4557759E-001	0
1.8816205E+003	1.271459988522111E+001	-2.4868268E-001	-1.321640994973765E-001	3.2866923E-005	-2.4857736E-001	0
1.9241339E+003	1.301459987764247E+001	-2.5165549E-001	-1.307889707919689E-001	3.2913762E-005	-2.5157759E-001	0
1.9673556E+003	1.331479987005878E+001	-2.5466979E-001	-1.294477676132595E-001	3.2966436E-005	-2.5457957E-001	0
2.0088333E+003	1.361479986248014E+001	-2.5768957E-001	-1.282782266645490E-001	3.3055960E-005	-2.5757980E-001	0
