EC-Lab ASCII FILE
Nb header lines : 63                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -5.00 V, max = 5.00 V
Ewe,I filtering : <None>
Safety Limits :
	Do not start on E overload
Channel : Floating
Acquisition started on : 03/09/2026 12:36:38.573
Technique started on : 03/09/2026 12:36:41.411
Loaded Setting File :  NONE
Saved on :
	File : PtPdCoNi_N52magB_flat_3-9_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 127.0.0.1
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : PtPdNiCo
Initial state : 
Electrolyte : KOH (1M)
Comments : Magnet side B, flat position
Cable : standard
Reference electrode : Hg/HgO (0.140 V)
Electrode surface area : 1.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              -0.200              
vs.                 Eoc                 
EL (V)              -2.500              
vs.                 Eoc                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -5.000              
E range max (V)     5.000               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

Rwe/Ohm	time/s	Ewe/V	<I>/mA	Pwe/W	control/V	error	
0.0000000E+000	2.838400134787662E+000	-1.7630748E-001	0.000000000000000E+000	0.0000000E+000	0.0000000E+000	0
0.0000000E+000	7.838200008482090E+000	-5.0246168E-002	0.000000000000000E+000	0.0000000E+000	-2.4961649E-001	0
2.2182952E+003	8.038200003429665E+000	-2.5154859E-001	-1.133972585201264E-001	2.8524921E-005	-2.5151625E-001	0
1.4981975E+003	8.158200000398210E+000	-2.5278029E-001	-1.687229337341778E-001	4.2649834E-005	-2.5271633E-001	0
1.6956600E+003	8.368199995093164E+000	-2.5484696E-001	-1.502936662696386E-001	3.8301885E-005	-2.5481632E-001	0
1.8717572E+003	8.568199990040739E+000	-2.5686613E-001	-1.372326149123713E-001	3.5250410E-005	-2.5681630E-001	0
2.0167087E+003	8.768199984988314E+000	-2.5886005E-001	-1.283576766730135E-001	3.3226675E-005	-2.5881630E-001	0
2.1412244E+003	8.968199979935889E+000	-2.6089302E-001	-1.218429102061864E-001	3.1787964E-005	-2.6081631E-001	0
2.2506726E+003	9.168199974883464E+000	-2.6284474E-001	-1.167849744437793E-001	3.0696316E-005	-2.6281631E-001	0
2.3480461E+003	9.368199969831039E+000	-2.6484865E-001	-1.127953319282371E-001	2.9873690E-005	-2.6481631E-001	0
2.4404495E+003	9.568199964778614E+000	-2.6690918E-001	-1.093688677329053E-001	2.9191555E-005	-2.6681632E-001	0
2.5242034E+003	9.768199959726189E+000	-2.6887810E-001	-1.065199874962375E-001	2.8640892E-005	-2.6881632E-001	0
2.6044839E+003	9.968199954673764E+000	-2.7083787E-001	-1.039890795513193E-001	2.8164181E-005	-2.7081633E-001	0
2.6805076E+003	1.016819994962134E+001	-2.7288055E-001	-1.018018211911762E-001	2.7779737E-005	-2.7281633E-001	0
2.7532405E+003	1.036819994456891E+001	-2.7492037E-001	-9.985338334129290E-002	2.7451730E-005	-2.7481630E-001	0
2.8259395E+003	1.056819993951649E+001	-2.7682135E-001	-9.795728053152053E-002	2.7116666E-005	-2.7681634E-001	0
2.8968762E+003	1.076819993446406E+001	-2.7885705E-001	-9.626129128423233E-002	2.6843139E-005	-2.7881631E-001	0
2.9646035E+003	1.096819992941164E+001	-2.8086650E-001	-9.473999122383647E-002	2.6609290E-005	-2.8081632E-001	0
3.0310317E+003	1.116819992435921E+001	-2.8285766E-001	-9.332058922748754E-002	2.6396443E-005	-2.8281632E-001	0
3.0977458E+003	1.136819991930679E+001	-2.8489339E-001	-9.196796731774137E-002	2.6201067E-005	-2.8481632E-001	0
3.1625544E+003	1.156819991425436E+001	-2.8686824E-001	-9.070776579711504E-002	2.6021178E-005	-2.8681633E-001	0
3.2268774E+003	1.176819990920194E+001	-2.8885582E-001	-8.951558581713881E-002	2.5857098E-005	-2.8881633E-001	0
3.2908928E+003	1.196819990414951E+001	-2.9085162E-001	-8.838076547554774E-002	2.5705689E-005	-2.9081631E-001	0
3.3554299E+003	1.216819989909709E+001	-2.9292068E-001	-8.729750827396210E-002	2.5571246E-005	-2.9281631E-001	0
3.4176003E+003	1.236819989404466E+001	-2.9486707E-001	-8.627898144311885E-002	2.5440830E-005	-2.9481632E-001	0
3.4813987E+003	1.256819988899224E+001	-2.9691511E-001	-8.528615783714177E-002	2.5322750E-005	-2.9681632E-001	0
3.5435764E+003	1.276819988393981E+001	-2.9885599E-001	-8.433738843138716E-002	2.5204734E-005	-2.9881629E-001	0
