EC-Lab ASCII FILE
Nb header lines : 63                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -5.00 V, max = 10.00 V
Ewe,I filtering : <None>
Safety Limits :
	Do not start on E overload
Channel : Floating
Acquisition started on : 03/05/2026 18:19:48.713
Technique started on : 03/05/2026 18:19:51.396
Loaded Setting File :  NONE
Saved on :
	File : PtPdCoNi_N52magB_up_3-5_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 127.0.0.1
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : PtPdCoNi
Initial state : 
Electrolyte : KOH (1 M)
Comments : N52 disk magnet, B side up (-), up orientation
Cable : standard
Reference electrode : Hg/HgO (0.140 V)
Electrode surface area : 1.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              -0.200              
vs.                 Ref                 
EL (V)              -2.500              
vs.                 Ref                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -5.000              
E range max (V)     10.000              
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

Rwe/Ohm	time/s	Ewe/V	<I>/mA	Pwe/W	control/V	error	
0.0000000E+000	2.683400127425557E+000	-1.5977171E-001	0.000000000000000E+000	0.0000000E+000	0.0000000E+000	0
0.0000000E+000	7.683200001119985E+000	-3.3008721E-002	0.000000000000000E+000	0.0000000E+000	-1.9989736E-001	0
2.2609729E+003	7.863999996552593E+000	-2.0167542E-001	-8.919851109385490E-002	1.7989147E-005	-2.0155303E-001	0
1.5406696E+003	7.984399993511033E+000	-2.0295502E-001	-1.317316968153697E-001	2.6735610E-005	-2.0275731E-001	0
1.1380645E+003	8.165299988941115E+000	-2.0474674E-001	-1.799078517127679E-001	3.6835547E-005	-2.0456606E-001	0
1.2536343E+003	8.390699983247032E+000	-2.0693135E-001	-1.650651636505147E-001	3.4157158E-005	-2.0682092E-001	0
1.4146261E+003	8.690599975670921E+000	-2.0997967E-001	-1.484347464119613E-001	3.1168278E-005	-2.0982072E-001	0
1.5441647E+003	8.990599968092283E+000	-2.1295919E-001	-1.379122198713172E-001	2.9369674E-005	-2.1282052E-001	0
1.6555039E+003	9.290599960513646E+000	-2.1596119E-001	-1.304504233827295E-001	2.8172228E-005	-2.1582027E-001	0
1.7525483E+003	9.590599952935008E+000	-2.1894662E-001	-1.249304351996299E-001	2.7353097E-005	-2.1882007E-001	0
1.8411295E+003	9.890599945356371E+000	-2.2202246E-001	-1.205903562736714E-001	2.6773767E-005	-2.2181985E-001	0
1.9223544E+003	1.019059993777773E+001	-2.2497925E-001	-1.170331825808937E-001	2.6330037E-005	-2.2481962E-001	0
1.9990486E+003	1.049059993019910E+001	-2.2800440E-001	-1.140564552865351E-001	2.6005373E-005	-2.2781940E-001	0
