EC-Lab ASCII FILE
Nb header lines : 61                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -5.00 V, max = 5.00 V
Ewe,I filtering : 50 kHz
Channel : Grounded
Acquisition started on : 02/26/2026 17:07:47.001
Technique started on : 02/26/2026 17:07:49.683
Loaded Setting File :  NONE
Saved on :
	File : PtPdCoNiCr_2_26_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 127.0.0.1
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : PtPdCoNiCr
Initial state : 
Electrolyte : KOH (1M)
Comments : 
Cable : standard
Reference electrode : Hg/HgO (0.140 V)
Electrode surface area : 1.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              -0.200              
vs.                 Ref                 
EL (V)              -2.500              
vs.                 Ref                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -5.000              
E range max (V)     5.000               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

Rwe/Ohm	time/s	Ewe/V	<I>/mA	Pwe/W	control/V	error	
0.0000000E+000	2.682400127378060E+000	-1.3607790E-001	0.000000000000000E+000	0.0000000E+000	0.0000000E+000	0
0.0000000E+000	7.682200001072488E+000	-6.6220849E-003	0.000000000000000E+000	0.0000000E+000	-1.9983859E-001	0
1.0273868E+003	7.822199997535790E+000	-2.0092396E-001	-1.955679691321144E-001	3.9294293E-005	-2.0113838E-001	0
7.1531738E+002	7.942199994504335E+000	-2.0212370E-001	-2.825650567064902E-001	5.7113095E-005	-2.0233843E-001	0
7.8564789E+002	8.152199989199289E+000	-2.0423587E-001	-2.599585251375833E-001	5.3092856E-005	-2.0443845E-001	0
8.5382959E+002	8.352199984146864E+000	-2.0623554E-001	-2.415418127053286E-001	4.9814505E-005	-2.0643841E-001	0
9.1072778E+002	8.552199979094439E+000	-2.0824370E-001	-2.286563621572055E-001	4.7616246E-005	-2.0843841E-001	0
9.5977313E+002	8.752199974042014E+000	-2.1024954E-001	-2.190617102023014E-001	4.6057623E-005	-2.1043845E-001	0
1.0030438E+003	8.952199968989589E+000	-2.1224348E-001	-2.115994295392549E-001	4.4910601E-005	-2.1243842E-001	0
1.0420469E+003	9.152199963937164E+000	-2.1424699E-001	-2.056020544651824E-001	4.4049622E-005	-2.1443842E-001	0
1.0778955E+003	9.352199958884739E+000	-2.1623753E-001	-2.006108371135413E-001	4.3379590E-005	-2.1643843E-001	0
1.1111022E+003	9.552199953832314E+000	-2.1824294E-001	-1.964202285121255E-001	4.2867330E-005	-2.1843842E-001	0
1.1424653E+003	9.752199948779889E+000	-2.2024769E-001	-1.927828214336142E-001	4.2459971E-005	-2.2043842E-001	0
1.1720774E+003	9.952199943727464E+000	-2.2224908E-001	-1.896197940824795E-001	4.2142823E-005	-2.2243842E-001	0
1.2006158E+003	1.015219993867504E+001	-2.2424938E-001	-1.867786257922681E-001	4.1884992E-005	-2.2443843E-001	0
1.2273984E+003	1.035219993362261E+001	-2.2623843E-001	-1.843235366692653E-001	4.1701067E-005	-2.2643842E-001	0
