EC-Lab ASCII FILE
Nb header lines : 61                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -5.00 V, max = 5.00 V
Ewe,I filtering : 50 kHz
Channel : Grounded
Acquisition started on : 02/26/2026 18:00:23.237
Technique started on : 02/26/2026 18:00:25.921
Loaded Setting File :  NONE
Saved on :
	File : PtPdCoNi_sqmagnet_2_26_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 127.0.0.1
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : PtPdCoNi_mag
Initial state : 
Electrolyte : KOH (1M)
Comments : 
Cable : standard
Reference electrode : Hg/HgO (0.140 V)
Electrode surface area : 1.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              -0.200              
vs.                 Ref                 
EL (V)              -2.500              
vs.                 Ref                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -5.000              
E range max (V)     5.000               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

Rwe/Ohm	time/s	Ewe/V	<I>/mA	Pwe/W	control/V	error	
0.0000000E+000	2.684400127473054E+000	-1.6319545E-001	0.000000000000000E+000	0.0000000E+000	0.0000000E+000	0
0.0000000E+000	7.684200001167483E+000	-2.0600844E-002	0.000000000000000E+000	0.0000000E+000	-1.9994761E-001	0
1.3152842E+003	7.824199997630785E+000	-2.0111705E-001	-1.529076747797635E-001	3.0752341E-005	-2.0124739E-001	0
1.0575918E+003	7.944199994599330E+000	-2.0231993E-001	-1.913024876364640E-001	3.8704307E-005	-2.0244744E-001	0
1.2613480E+003	8.154199989294284E+000	-2.0443764E-001	-1.620787037673774E-001	3.3134987E-005	-2.0454745E-001	0
1.4208154E+003	8.354199984241859E+000	-2.0643725E-001	-1.452949088713043E-001	2.9994280E-005	-2.0654744E-001	0
1.5496512E+003	8.554199979189434E+000	-2.0845343E-001	-1.345163568022266E-001	2.8040397E-005	-2.0854744E-001	0
1.6588265E+003	8.754199974137009E+000	-2.1045133E-001	-1.268675972891304E-001	2.6699456E-005	-2.1054745E-001	0
1.7546055E+003	8.954199969084584E+000	-2.1244481E-001	-1.210783903630630E-001	2.5722476E-005	-2.1254745E-001	0
1.8403540E+003	9.154199964032159E+000	-2.1444847E-001	-1.165256605118237E-001	2.4988749E-005	-2.1454744E-001	0
1.9193433E+003	9.354199958979734E+000	-2.1646103E-001	-1.127786986728339E-001	2.4412193E-005	-2.1654741E-001	0
1.9923075E+003	9.554199953927309E+000	-2.1844700E-001	-1.096452201596227E-001	2.3951668E-005	-2.1854736E-001	0
2.0616213E+003	9.754199948874884E+000	-2.2046079E-001	-1.069356291882210E-001	2.3575112E-005	-2.2054729E-001	0
2.1274724E+003	9.954199943822459E+000	-2.2246332E-001	-1.045669604793971E-001	2.3262313E-005	-2.2254722E-001	0
2.1902356E+003	1.015419993877003E+001	-2.2445822E-001	-1.024813155692215E-001	2.3002773E-005	-2.2454716E-001	0
2.2507017E+003	1.035419993371761E+001	-2.2645524E-001	-1.006153994387691E-001	2.2784885E-005	-2.2654711E-001	0
2.3100894E+003	1.055419992866518E+001	-2.2845331E-001	-9.889370659704100E-002	2.2592594E-005	-2.2854705E-001	0
2.3649751E+003	1.075419992361276E+001	-2.3045796E-001	-9.744625220913683E-002	2.2457265E-005	-2.3054698E-001	0
2.4225562E+003	1.095419991856033E+001	-2.3244438E-001	-9.595004705629862E-002	2.2303049E-005	-2.3254693E-001	0
2.4763699E+003	1.115419991350791E+001	-2.3445775E-001	-9.467799862996684E-002	2.2197990E-005	-2.3454686E-001	0
2.5296106E+003	1.135419990845548E+001	-2.3645876E-001	-9.347634641252978E-002	2.2103301E-005	-2.3654678E-001	0
