EC-Lab ASCII FILE
Nb header lines : 61                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -5.00 V, max = 5.00 V
Ewe,I filtering : 50 kHz
Channel : Grounded
Acquisition started on : 02/26/2026 17:24:55.936
Technique started on : 02/26/2026 17:24:58.774
Loaded Setting File :  NONE
Saved on :
	File : PtPdCoNiCr_sqmagnet_2_26_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 127.0.0.1
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : PtPdCoNiCr_mag
Initial state : 
Electrolyte : KOH (1M)
Comments : 
Cable : standard
Reference electrode : Hg/HgO (0.140 V)
Electrode surface area : 1.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              -0.200              
vs.                 Ref                 
EL (V)              -2.500              
vs.                 Ref                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -5.000              
E range max (V)     5.000               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

Rwe/Ohm	time/s	Ewe/V	<I>/mA	Pwe/W	control/V	error	
0.0000000E+000	2.838400134787662E+000	-1.4157701E-001	0.000000000000000E+000	0.0000000E+000	0.0000000E+000	0
0.0000000E+000	7.838200008482090E+000	-4.6416417E-002	0.000000000000000E+000	0.0000000E+000	-1.9994903E-001	0
4.1822725E+003	7.978200004945393E+000	-2.0112811E-001	-4.809062804663367E-002	9.6723770E-006	-2.0124881E-001	0
9.3390289E+002	8.098200001913938E+000	-2.0231736E-001	-2.166363907913064E-001	4.3829303E-005	-2.0244886E-001	0
9.1617798E+002	8.308199996608892E+000	-2.0441604E-001	-2.231182653959545E-001	4.5608951E-005	-2.0454884E-001	0
9.6454413E+002	8.508199991556467E+000	-2.0643589E-001	-2.140243111617548E-001	4.4182299E-005	-2.0654885E-001	0
1.0110461E+003	8.708199986504042E+000	-2.0842920E-001	-2.061520154944829E-001	4.2968099E-005	-2.0854884E-001	0
1.0538264E+003	8.908199981451617E+000	-2.1042547E-001	-1.996775440842153E-001	4.2017240E-005	-2.1054885E-001	0
1.0938070E+003	9.108199976399192E+000	-2.1241243E-001	-1.941955318651214E-001	4.1249546E-005	-2.1254885E-001	0
1.1312108E+003	9.308199971346767E+000	-2.1441783E-001	-1.895471947107146E-001	4.0642299E-005	-2.1454886E-001	0
1.1674287E+003	9.508199966294342E+000	-2.1641921E-001	-1.853810839635873E-001	4.0120027E-005	-2.1654885E-001	0
1.2025129E+003	9.708199961241917E+000	-2.1841761E-001	-1.816343120045856E-001	3.9672133E-005	-2.1854885E-001	0
1.2361842E+003	9.908199956189492E+000	-2.2042856E-001	-1.783136823446880E-001	3.9305429E-005	-2.2054888E-001	0
1.2698992E+003	1.010819995113707E+001	-2.2243543E-001	-1.751599107676789E-001	3.8961771E-005	-2.2254884E-001	0
1.3029363E+003	1.030819994608464E+001	-2.2441092E-001	-1.722347699052946E-001	3.8651364E-005	-2.2454886E-001	0
1.3365696E+003	1.050819994103222E+001	-2.2640528E-001	-1.693928060428052E-001	3.8351427E-005	-2.2654887E-001	0
1.3701088E+003	1.070819993597979E+001	-2.2842279E-001	-1.667187325455792E-001	3.8082359E-005	-2.2854884E-001	0
1.4038368E+003	1.090819993092737E+001	-2.3041990E-001	-1.641358186579529E-001	3.7820158E-005	-2.3054884E-001	0
1.4377811E+003	1.110819992587494E+001	-2.3242161E-001	-1.616529866539853E-001	3.7571648E-005	-2.3254871E-001	0
1.4720210E+003	1.130819992082252E+001	-2.3443323E-001	-1.592594366562883E-001	3.7335703E-005	-2.3454858E-001	0
1.5079229E+003	1.150819991577009E+001	-2.3643538E-001	-1.567954159438896E-001	3.7071983E-005	-2.3654848E-001	0
1.5436836E+003	1.170819991071767E+001	-2.3844066E-001	-1.544621394664181E-001	3.6830053E-005	-2.3854838E-001	0
1.5806763E+003	1.190819990566524E+001	-2.4043195E-001	-1.521070116324150E-001	3.6571386E-005	-2.4054824E-001	0
1.6180828E+003	1.210819990061282E+001	-2.4241748E-001	-1.498177335935466E-001	3.6318437E-005	-2.4254814E-001	0
1.6572222E+003	1.230819989556039E+001	-2.4442470E-001	-1.474906095829440E-001	3.6050347E-005	-2.4454801E-001	0
1.6978433E+003	1.250819989050797E+001	-2.4642597E-001	-1.451405841401039E-001	3.5766410E-005	-2.4654791E-001	0
1.7385026E+003	1.270819988545554E+001	-2.4844271E-001	-1.429061477870814E-001	3.5503992E-005	-2.4854781E-001	0
1.7808164E+003	1.290819988040312E+001	-2.5041452E-001	-1.406178201861308E-001	3.5212743E-005	-2.5054771E-001	0
1.8234886E+003	1.310819987535069E+001	-2.5243616E-001	-1.384358289873318E-001	3.4946210E-005	-2.5254756E-001	0
1.8684611E+003	1.330819987029827E+001	-2.5443995E-001	-1.361762126495893E-001	3.4648670E-005	-2.5454745E-001	0
1.9151709E+003	1.350819986524584E+001	-2.5642955E-001	-1.338938205036215E-001	3.4334331E-005	-2.5654733E-001	0
1.9623865E+003	1.370819986019342E+001	-2.5841722E-001	-1.316851806687508E-001	3.4029719E-005	-2.5854722E-001	0
2.0116058E+003	1.390809985514352E+001	-2.6039153E-001	-1.294446096174271E-001	3.3706281E-005	-2.6054686E-001	0
2.0624231E+003	1.410799985009362E+001	-2.6240128E-001	-1.272296016938697E-001	3.3385211E-005	-2.6254702E-001	0
2.1148572E+003	1.430799984504119E+001	-2.6440060E-001	-1.250205448197197E-001	3.3055509E-005	-2.6454687E-001	0
2.1692688E+003	1.450799983998877E+001	-2.6640886E-001	-1.228104472728420E-001	3.2717791E-005	-2.6654676E-001	0
2.2247578E+003	1.470799983493635E+001	-2.6840782E-001	-1.206458629153313E-001	3.2382293E-005	-2.6854664E-001	0
2.2838545E+003	1.490799982988392E+001	-2.7039275E-001	-1.183931635483650E-001	3.2012653E-005	-2.7054656E-001	0
2.3443530E+003	1.510799982483150E+001	-2.7239019E-001	-1.161899136351906E-001	3.1648993E-005	-2.7254641E-001	0
2.4058125E+003	1.530799981977907E+001	-2.7440059E-001	-1.140573459947712E-001	3.1297404E-005	-2.7454630E-001	0
2.4694021E+003	1.550799981472665E+001	-2.7640736E-001	-1.119329072049318E-001	3.0939078E-005	-2.7654618E-001	0
2.5364019E+003	1.570799980967422E+001	-2.7839059E-001	-1.097580760985601E-001	3.0555617E-005	-2.7854607E-001	0
2.6037693E+003	1.590799980462180E+001	-2.8039119E-001	-1.076866481009695E-001	3.0194387E-005	-2.8054595E-001	0
2.6740676E+003	1.610799979956937E+001	-2.8240263E-001	-1.056078887046171E-001	2.9823947E-005	-2.8254583E-001	0
2.7464246E+003	1.630799979451695E+001	-2.8440830E-001	-1.035558381001731E-001	2.9452140E-005	-2.8454572E-001	0
2.8199932E+003	1.650799978946452E+001	-2.8639835E-001	-1.015599492299548E-001	2.9086603E-005	-2.8654560E-001	0
2.8956987E+003	1.670799978441210E+001	-2.8840536E-001	-9.959784688960194E-002	2.8724553E-005	-2.8854549E-001	0
2.9730525E+003	1.690799977935967E+001	-2.9040536E-001	-9.767919479575760E-002	2.8366561E-005	-2.9054534E-001	0
3.0540942E+003	1.710799977430725E+001	-2.9239750E-001	-9.573951614028076E-002	2.7993996E-005	-2.9254523E-001	0
3.1341135E+003	1.730789976925735E+001	-2.9441014E-001	-9.393729024918018E-002	2.7656091E-005	-2.9454425E-001	0
3.2160598E+003	1.750779976420745E+001	-2.9641548E-001	-9.216728057108323E-002	2.7319809E-005	-2.9654503E-001	0
3.2997256E+003	1.770779975915502E+001	-2.9838660E-001	-9.042770058537553E-002	2.6982414E-005	-2.9854488E-001	0
3.3867991E+003	1.790779975410260E+001	-3.0039889E-001	-8.869698928783087E-002	2.6644477E-005	-3.0054477E-001	0
3.4726753E+003	1.810779974905017E+001	-3.0239379E-001	-8.707805161782534E-002	2.6331862E-005	-3.0254465E-001	0
3.5576646E+003	1.830779974399775E+001	-3.0440864E-001	-8.556417533029681E-002	2.6046475E-005	-3.0454454E-001	0
3.6442874E+003	1.850779973894532E+001	-3.0640227E-001	-8.407741866249768E-002	2.5761512E-005	-3.0654442E-001	0
3.7319402E+003	1.870779973389290E+001	-3.0841500E-001	-8.264199624528648E-002	2.5488031E-005	-3.0854431E-001	0
3.8223528E+003	1.890779972884047E+001	-3.1040648E-001	-8.120822178330808E-002	2.5207559E-005	-3.1054419E-001	0
3.9088335E+003	1.910779972378805E+001	-3.1241810E-001	-7.992617257442047E-002	2.4970383E-005	-3.1254408E-001	0
3.9960291E+003	1.930779971873562E+001	-3.1439435E-001	-7.867669380985853E-002	2.4735509E-005	-3.1454396E-001	0
4.0830957E+003	1.950779971368320E+001	-3.1639072E-001	-7.748795405469500E-002	2.4516470E-005	-3.1654385E-001	0
4.1705859E+003	1.970779970863077E+001	-3.1840408E-001	-7.634516919925061E-002	2.4308612E-005	-3.1854373E-001	0
4.2559370E+003	1.990779970357835E+001	-3.2037926E-001	-7.527819199248903E-002	2.4117571E-005	-3.2054362E-001	0
4.3411318E+003	2.010779969852592E+001	-3.2239452E-001	-7.426508377800312E-002	2.3942655E-005	-3.2254350E-001	0
4.4265874E+003	2.030779969347350E+001	-3.2440490E-001	-7.328555049203672E-002	2.3774192E-005	-3.2454339E-001	0
4.5070352E+003	2.050779968842107E+001	-3.2640448E-001	-7.242111193624384E-002	2.3638575E-005	-3.2654324E-001	0
4.5882476E+003	2.070769968337117E+001	-3.2839951E-001	-7.157405951942608E-002	2.3504886E-005	-3.2854226E-001	0
4.6684229E+003	2.090769967831875E+001	-3.3040383E-001	-7.077419065098550E-002	2.3384064E-005	-3.3054391E-001	0
4.7448013E+003	2.110759967326885E+001	-3.3238918E-001	-7.005334015811060E-002	2.3284972E-005	-3.3254290E-001	0
4.8229790E+003	2.130759966821643E+001	-3.3439928E-001	-6.933458927066399E-002	2.3185437E-005	-3.3454278E-001	0
4.8992290E+003	2.150759966316400E+001	-3.3639845E-001	-6.866355254335944E-002	2.3098313E-005	-3.3654267E-001	0
4.9656021E+003	2.170759965811158E+001	-3.3840713E-001	-6.815026852760508E-002	2.3062537E-005	-3.3854255E-001	0
5.0405566E+003	2.190759965305915E+001	-3.4040755E-001	-6.753372224712983E-002	2.2988988E-005	-3.4054244E-001	0
5.1093545E+003	2.210759964800673E+001	-3.4241432E-001	-6.701713979725743E-002	2.2947628E-005	-3.4254232E-001	0
5.1774482E+003	2.230759964295430E+001	-3.4439605E-001	-6.651849463548254E-002	2.2908707E-005	-3.4454221E-001	0
5.2430532E+003	2.250759963790188E+001	-3.4641343E-001	-6.607093477290105E-002	2.2887860E-005	-3.4654209E-001	0
5.3056113E+003	2.270759963284945E+001	-3.4841919E-001	-6.566993935274415E-002	2.2880668E-005	-3.4854195E-001	0
5.3665996E+003	2.290759962779703E+001	-3.5042298E-001	-6.529702040706820E-002	2.2881577E-005	-3.5054186E-001	0
5.4244458E+003	2.310759962274460E+001	-3.5240218E-001	-6.496556142193019E-002	2.2894006E-005	-3.5254177E-001	0
5.4834512E+003	2.330759961769218E+001	-3.5441151E-001	-6.463292776026219E-002	2.2906654E-005	-3.5454163E-001	0
5.5364600E+003	2.350759961263975E+001	-3.5641512E-001	-6.437599629347465E-002	2.2944578E-005	-3.5654151E-001	0
5.5943013E+003	2.370759960758733E+001	-3.5842738E-001	-6.407009017423598E-002	2.2964474E-005	-3.5854137E-001	0
5.6457002E+003	2.390759960253490E+001	-3.6041427E-001	-6.383871876575542E-002	2.3008384E-005	-3.6054128E-001	0
5.6977964E+003	2.410759959748248E+001	-3.6239830E-001	-6.360323694080552E-002	2.3049704E-005	-3.6254120E-001	0
5.7452573E+003	2.430749959243258E+001	-3.6441296E-001	-6.342848383931807E-002	2.3114162E-005	-3.6454195E-001	0
5.7965557E+003	2.450739958738268E+001	-3.6639744E-001	-6.320951090092930E-002	2.3159802E-005	-3.6654091E-001	0
5.8442935E+003	2.470739958233025E+001	-3.6840528E-001	-6.303675544539000E-002	2.3223074E-005	-3.6854079E-001	0
5.8922183E+003	2.490739957727783E+001	-3.7038511E-001	-6.286004788343658E-002	2.3282426E-005	-3.7054068E-001	0
5.9364922E+003	2.510739957222540E+001	-3.7239823E-001	-6.273035134628091E-002	2.3360672E-005	-3.7254056E-001	0
5.9809004E+003	2.530739956717298E+001	-3.7440097E-001	-6.259943536364494E-002	2.3437289E-005	-3.7454048E-001	0
6.0240830E+003	2.550739956212055E+001	-3.7640584E-001	-6.248350726396174E-002	2.3519156E-005	-3.7654033E-001	0
6.0646206E+003	2.570739955706813E+001	-3.7840161E-001	-6.239493236013291E-002	2.3610342E-005	-3.7854022E-001	0
6.1123062E+003	2.590739955201570E+001	-3.8038757E-001	-6.223306915239180E-002	2.3672686E-005	-3.8054010E-001	0
6.1482456E+003	2.610739954696328E+001	-3.8239053E-001	-6.219506548778830E-002	2.3782804E-005	-3.8253999E-001	0
6.1879150E+003	2.630739954191085E+001	-3.8439560E-001	-6.212037394156936E-002	2.3878798E-005	-3.8453984E-001	0
6.2245845E+003	2.650739953685843E+001	-3.8641173E-001	-6.207831477949100E-002	2.3987788E-005	-3.8653976E-001	0
6.2682539E+003	2.670739953180600E+001	-3.8841084E-001	-6.196475568884241E-002	2.4067782E-005	-3.8853967E-001	0
