EC-Lab ASCII FILE
Nb header lines : 61                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -5.00 V, max = 5.00 V
Ewe,I filtering : 50 kHz
Channel : Grounded
Acquisition started on : 02/25/2026 11:44:46.515
Technique started on : 02/25/2026 11:44:49.881
Loaded Setting File :  NONE
Saved on :
	File : PtPdNiCoCr_nomagnet_2_25_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 127.0.0.1
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : PtPdNiCoCr
Initial state : 
Electrolyte : KOH (1M)
Comments : 
Cable : standard
Reference electrode : Hg/HgO (0.140 V)
Electrode surface area : 1.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              -0.200              
vs.                 Ref                 
EL (V)              -2.500              
vs.                 Ref                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -5.000              
E range max (V)     5.000               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

Rwe/Ohm	time/s	Ewe/V	<I>/mA	Pwe/W	control/V	error	
0.0000000E+000	3.366400159866316E+000	-1.6238104E-001	0.000000000000000E+000	0.0000000E+000	0.0000000E+000	0
0.0000000E+000	8.366200033560744E+000	-6.9187127E-002	0.000000000000000E+000	0.0000000E+000	-1.9980298E-001	0
1.0431224E+003	8.506200030024047E+000	-2.0110364E-001	1.927900566039855E-001	-3.8770784E-005	-2.0110276E-001	0
3.4823137E+003	8.626200026992592E+000	-2.0230222E-001	-5.809419525615073E-002	1.1752584E-005	-2.0230281E-001	0
2.2636060E+003	8.836200021687546E+000	-2.0439433E-001	-9.029589030551688E-002	1.8455967E-005	-2.0440280E-001	0
2.2834805E+003	9.036200016635121E+000	-2.0640138E-001	-9.038894096138095E-002	1.8656401E-005	-2.0640282E-001	0
2.3603328E+003	9.236200011582696E+000	-2.0843963E-001	-8.830942722700530E-002	1.8407185E-005	-2.0840280E-001	0
2.4479502E+003	9.436200006530271E+000	-2.1042803E-001	-8.596091517912452E-002	1.8088585E-005	-2.1040282E-001	0
2.5348064E+003	9.636200001477846E+000	-2.1242514E-001	-8.380330160055394E-002	1.7801929E-005	-2.1240282E-001	0
2.6194751E+003	9.836199996425421E+000	-2.1442582E-001	-8.185831401993415E-002	1.7552537E-005	-2.1440279E-001	0
2.7025137E+003	1.003619999137300E+001	-2.1642587E-001	-8.008316859429740E-002	1.7332070E-005	-2.1640281E-001	0
2.7819778E+003	1.023619998632057E+001	-2.1841553E-001	-7.851087897403508E-002	1.7147995E-005	-2.1840282E-001	0
2.8605364E+003	1.043619998126815E+001	-2.2043937E-001	-7.706224929452654E-002	1.6987555E-005	-2.2040281E-001	0
2.9359551E+003	1.063619997621572E+001	-2.2242819E-001	-7.576008055141598E-002	1.6851178E-005	-2.2240281E-001	0
