EC-Lab ASCII FILE
Nb header lines : 63                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -5.00 V, max = 5.00 V
Ewe,I filtering : <None>
Safety Limits :
	Do not start on E overload
Channel : Floating
Acquisition started on : 02/19/2026 16:53:26.428
Technique started on : 02/19/2026 16:53:29.266
Loaded Setting File :  NONE
Saved on :
	File : Ni25Co25_2_19_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 127.0.0.1
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : Ni25Co25
Initial state : 
Electrolyte : KOH (1M)
Comments : 
Cable : standard
Reference electrode : Hg/HgO (0.140 V)
Electrode surface area : 1.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              -0.200              
vs.                 Ref                 
EL (V)              -2.500              
vs.                 Ref                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -5.000              
E range max (V)     5.000               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

Rwe/Ohm	time/s	Ewe/V	<I>/mA	Pwe/W	control/V	error	
0.0000000E+000	2.838400134787662E+000	-1.6338862E-001	0.000000000000000E+000	0.0000000E+000	0.0000000E+000	0
0.0000000E+000	7.838200008482090E+000	-1.1800481E-001	0.000000000000000E+000	0.0000000E+000	-1.9991951E-001	0
4.8431339E+002	8.038200003429665E+000	-2.0158643E-001	4.162313610315322E-001	-8.3906591E-005	-2.0181929E-001	0
3.8524094E+003	8.158200000398210E+000	-2.0294203E-001	5.267924586802808E-002	-1.0690833E-005	-2.0301935E-001	0
2.0231629E+004	8.388199994587922E+000	-2.0522338E-001	-1.014369027892420E-002	2.0817224E-006	-2.0531933E-001	0
1.0357861E+004	8.608199989030254E+000	-2.0745638E-001	-2.002888149608251E-002	4.1551193E-006	-2.0751934E-001	0
8.9063271E+003	8.808199983977829E+000	-2.0946351E-001	-2.351850555610979E-002	4.9262685E-006	-2.0951933E-001	0
8.3328301E+003	9.008199978925404E+000	-2.1145318E-001	-2.537591416228246E-002	5.3658177E-006	-2.1151933E-001	0
8.0426201E+003	9.208199973872979E+000	-2.1346009E-001	-2.654111327560171E-002	5.6654685E-006	-2.1351933E-001	0
7.8804819E+003	9.408199968820554E+000	-2.1542242E-001	-2.733619947513333E-002	5.8888304E-006	-2.1551934E-001	0
7.7902236E+003	9.608199963768129E+000	-2.1747006E-001	-2.791576733857037E-002	6.0708439E-006	-2.1751933E-001	0
7.7322339E+003	9.808199958715704E+000	-2.1946017E-001	-2.838250621097360E-002	6.2288300E-006	-2.1951935E-001	0
7.7034277E+003	1.000819995366328E+001	-2.2144522E-001	-2.874632306764424E-002	6.3657358E-006	-2.2151934E-001	0
7.6884507E+003	1.020819994861085E+001	-2.2346358E-001	-2.906483868712473E-002	6.4949331E-006	-2.2351933E-001	0
7.6807979E+003	1.040819994355843E+001	-2.2540449E-001	-2.934649346957013E-002	6.6148314E-006	-2.2551934E-001	0
7.6838384E+003	1.060819993850600E+001	-2.2748862E-001	-2.960611790204271E-002	6.7350547E-006	-2.2751935E-001	0
7.6936348E+003	1.080819993345358E+001	-2.2948551E-001	-2.982797005975113E-002	6.8450868E-006	-2.2951934E-001	0
7.7010889E+003	1.100819992840115E+001	-2.3144639E-001	-3.005372217825736E-002	6.9558255E-006	-2.3151934E-001	0
7.7101675E+003	1.120819992334873E+001	-2.3342314E-001	-3.027471783016578E-002	7.0668198E-006	-2.3351936E-001	0
7.7221602E+003	1.140819991829630E+001	-2.3552637E-001	-3.050006246600767E-002	7.1835689E-006	-2.3551933E-001	0
7.7424092E+003	1.160819991324388E+001	-2.3748572E-001	-3.067336192559397E-002	7.2844855E-006	-2.3751934E-001	0
7.7540063E+003	1.180819990819145E+001	-2.3944552E-001	-3.088023338272599E-002	7.3941337E-006	-2.3951936E-001	0
7.7721323E+003	1.200819990313903E+001	-2.4145602E-001	-3.106689449719649E-002	7.5012886E-006	-2.4151932E-001	0
7.7857368E+003	1.220819989808660E+001	-2.4333920E-001	-3.125448507212460E-002	7.6054412E-006	-2.4351935E-001	0
7.8081797E+003	1.240819989303418E+001	-2.4548805E-001	-3.143985635445767E-002	7.7181094E-006	-2.4551934E-001	0
7.8255400E+003	1.260819988798175E+001	-2.4746183E-001	-3.162233190887651E-002	7.8253197E-006	-2.4751934E-001	0
7.8393037E+003	1.280819988292933E+001	-2.4943858E-001	-3.181897125327264E-002	7.9368792E-006	-2.4951935E-001	0
7.8623481E+003	1.300819987787690E+001	-2.5145099E-001	-3.198166586914844E-002	8.0418213E-006	-2.5151932E-001	0
7.8812627E+003	1.320819987282448E+001	-2.5346020E-001	-3.215984656087958E-002	8.1512408E-006	-2.5351933E-001	0
7.9005273E+003	1.340819986777205E+001	-2.5548962E-001	-3.233829917398851E-002	8.2621000E-006	-2.5551933E-001	0
7.9142266E+003	1.360819986271963E+001	-2.5740442E-001	-3.252426626782678E-002	8.3718896E-006	-2.5751933E-001	0
7.9361914E+003	1.380819985766720E+001	-2.5945222E-001	-3.269228349939251E-002	8.4820858E-006	-2.5951934E-001	0
7.9559199E+003	1.400819985261478E+001	-2.6143643E-001	-3.286061687986286E-002	8.5909624E-006	-2.6151937E-001	0
7.9746035E+003	1.420819984756236E+001	-2.6340768E-001	-3.303081858977086E-002	8.7005710E-006	-2.6351932E-001	0
