EC-Lab ASCII FILE
Nb header lines : 63                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -2.50 V, max = 2.50 V
Ewe,I filtering : <None>
Safety Limits :
	Do not start on E overload
Channel : Floating
Acquisition started on : 02/06/2026 12:54:02.928
Technique started on : 02/06/2026 12:54:05.609
Loaded Setting File :  NONE
Saved on :
	File : Pt20Pd10Ni25Co25Cr20_polished_2-6_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 127.0.0.1
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : Pt20Pd20Ni40Co20
Initial state : 
Electrolyte : KOH (1M)
Comments : 
Cable : standard
Reference electrode : Hg/HgO (0.140 V)
Electrode surface area : 1.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              -0.200              
vs.                 Ref                 
EL (V)              -2.500              
vs.                 Ref                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -2.500              
E range max (V)     2.500               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

Rwe/Ohm	time/s	Ewe/V	<I>/mA	Pwe/W	control/V	error	
0.0000000E+000	2.681400127330562E+000	-1.7170587E-001	0.000000000000000E+000	0.0000000E+000	0.0000000E+000	0
0.0000000E+000	7.681200001024990E+000	-8.2917430E-002	0.000000000000000E+000	0.0000000E+000	-1.9995862E-001	0
8.2843848E+002	7.871199996225187E+000	-2.0161901E-001	2.433723476529122E-001	-4.9068494E-005	-2.0180850E-001	0
3.8427478E+003	7.926199994835770E+000	-2.0226534E-001	5.263559957964215E-002	-1.0646358E-005	-2.0235856E-001	0
8.4700186E+003	8.041199991930625E+000	-2.0339715E-001	-2.401377804388734E-002	4.8843340E-006	-2.0350856E-001	0
5.3507158E+003	8.171199988646549E+000	-2.0469889E-001	-3.825635518131637E-002	7.8310331E-006	-2.0480855E-001	0
4.7000708E+003	8.286199985741405E+000	-2.0583640E-001	-4.379432093938451E-002	9.0144658E-006	-2.0595855E-001	0
4.4748096E+003	8.386199983215192E+000	-2.0681871E-001	-4.621843835425143E-002	9.5588384E-006	-2.0695856E-001	0
4.3606050E+003	8.486199980688980E+000	-2.0784581E-001	-4.766444416492477E-002	9.9068548E-006	-2.0795855E-001	0
4.3072563E+003	8.586199978162767E+000	-2.0887160E-001	-4.849295775595780E-002	1.0128801E-005	-2.0895855E-001	0
4.2749517E+003	8.686199975636555E+000	-2.0988131E-001	-4.909559882556369E-002	1.0304248E-005	-2.0995855E-001	0
4.2696162E+003	8.786199973110342E+000	-2.1090861E-001	-4.939755509366045E-002	1.0418369E-005	-2.1095856E-001	0
4.2729707E+003	8.886199970584130E+000	-2.1189623E-001	-4.958990835412269E-002	1.0507914E-005	-2.1195854E-001	0
4.2854023E+003	8.986199968057917E+000	-2.1289296E-001	-4.967864195781718E-002	1.0576234E-005	-2.1295856E-001	0
4.3010586E+003	9.086199965531705E+000	-2.1389206E-001	-4.973009796985606E-002	1.0636873E-005	-2.1395855E-001	0
4.3186133E+003	9.186199963005492E+000	-2.1488114E-001	-4.975697443889515E-002	1.0691835E-005	-2.1495856E-001	0
4.3406826E+003	9.286199960479280E+000	-2.1584901E-001	-4.972697225295830E-002	1.0733518E-005	-2.1595855E-001	0
4.3656577E+003	9.386199957953068E+000	-2.1684875E-001	-4.967149623876610E-002	1.0771201E-005	-2.1695854E-001	0
4.3909341E+003	9.486199955426855E+000	-2.1787116E-001	-4.961840676454221E-002	1.0810420E-005	-2.1795855E-001	0
4.4216753E+003	9.586199952900643E+000	-2.1890886E-001	-4.950812841006726E-002	1.0837768E-005	-2.1895856E-001	0
4.4459580E+003	9.686199950374430E+000	-2.1986338E-001	-4.945242172107056E-002	1.0872777E-005	-2.1995856E-001	0
4.4737231E+003	9.786199947848218E+000	-2.2082762E-001	-4.936104138485253E-002	1.0900281E-005	-2.2095856E-001	0
4.5028247E+003	9.886199945322005E+000	-2.2186622E-001	-4.927267702468852E-002	1.0931943E-005	-2.2195856E-001	0
4.5345605E+003	9.986199942795793E+000	-2.2289202E-001	-4.915404838026960E-002	1.0956045E-005	-2.2295853E-001	0
4.5628809E+003	1.008619994026958E+001	-2.2386757E-001	-4.906276573806448E-002	1.0983562E-005	-2.2395855E-001	0
4.5896167E+003	1.018619993774337E+001	-2.2486599E-001	-4.899450277702666E-002	1.1017198E-005	-2.2495857E-001	0
4.6165698E+003	1.028619993521716E+001	-2.2576766E-001	-4.890376563114951E-002	1.1040888E-005	-2.2595856E-001	0
4.6478726E+003	1.038619993269094E+001	-2.2687115E-001	-4.881182869603085E-002	1.1073996E-005	-2.2695854E-001	0
4.6785806E+003	1.048619993016473E+001	-2.2795258E-001	-4.872259275159907E-002	1.1106441E-005	-2.2795856E-001	0
4.7070884E+003	1.058619992763852E+001	-2.2888479E-001	-4.862555684694270E-002	1.1129650E-005	-2.2895855E-001	0
4.7360063E+003	1.068619992511231E+001	-2.2984950E-001	-4.853234835900375E-002	1.1155136E-005	-2.2995855E-001	0
4.7629902E+003	1.078619992258609E+001	-2.3086640E-001	-4.847089475434685E-002	1.1190301E-005	-2.3095857E-001	0
4.7877920E+003	1.088619992005988E+001	-2.3178804E-001	-4.841230409995970E-002	1.1221393E-005	-2.3195855E-001	0
4.8197861E+003	1.098619991753367E+001	-2.3287132E-001	-4.831569850082618E-002	1.1251341E-005	-2.3295854E-001	0
4.8476260E+003	1.108619991500746E+001	-2.3390715E-001	-4.825189882992875E-002	1.1286464E-005	-2.3395856E-001	0
