EC-Lab ASCII FILE
Nb header lines : 63                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -5.00 V, max = 5.00 V
Ewe,I filtering : <None>
Safety Limits :
	Do not start on E overload
Channel : Floating
Acquisition started on : 02/10/2026 15:17:15.529
Technique started on : 02/10/2026 15:17:18.211
Loaded Setting File :  NONE
Saved on :
	File : Pd40_polished_2-10_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 127.0.0.1
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : Pt18.75Pd18.75Ni18.75o18.75Cr25
Initial state : 
Electrolyte : KOH (1 M)
Comments : After polishing
Cable : standard
Reference electrode : Hg/HgO (0.140 V)
Electrode surface area : 1.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              -0.200              
vs.                 Ref                 
EL (V)              -2.500              
vs.                 Ref                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -5.000              
E range max (V)     5.000               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

Rwe/Ohm	time/s	Ewe/V	<I>/mA	Pwe/W	control/V	error	
0.0000000E+000	2.682400127378060E+000	-1.6972105E-001	0.000000000000000E+000	0.0000000E+000	0.0000000E+000	0
0.0000000E+000	7.682200001072488E+000	-1.7706394E-002	0.000000000000000E+000	0.0000000E+000	-1.9991022E-001	0
3.0947168E+003	7.882199996020063E+000	-2.0152703E-001	-6.511969951912761E-002	1.3123379E-005	-2.0181000E-001	0
1.6560970E+003	8.002199992988608E+000	-2.0294537E-001	-1.225443680038933E-001	2.4869812E-005	-2.0301005E-001	0
1.8852881E+003	8.212199987683562E+000	-2.0500016E-001	-1.087367798923990E-001	2.2291057E-005	-2.0511006E-001	0
2.1097346E+003	8.412199982631137E+000	-2.0702913E-001	-9.813041696082081E-002	2.0315856E-005	-2.0711006E-001	0
2.2956453E+003	8.612199977578712E+000	-2.0905872E-001	-9.106751711027550E-002	1.9038458E-005	-2.0911004E-001	0
2.4550552E+003	8.812199972526287E+000	-2.1104500E-001	-8.596344267772071E-002	1.8142155E-005	-2.1111007E-001	0
2.5945562E+003	9.012199967473862E+000	-2.1306762E-001	-8.212102880245231E-002	1.7497332E-005	-2.1311004E-001	0
2.7240718E+003	9.212199962421437E+000	-2.1502973E-001	-7.893688002096533E-002	1.6973776E-005	-2.1511003E-001	0
2.8367295E+003	9.412199957369012E+000	-2.1699589E-001	-7.649509764388374E-002	1.6599122E-005	-2.1711007E-001	0
2.9478848E+003	9.612199952316587E+000	-2.1904266E-001	-7.430502750368058E-002	1.6275972E-005	-2.1911004E-001	0
3.0491089E+003	9.812199947264162E+000	-2.2104786E-001	-7.249589140216517E-002	1.6025062E-005	-2.2111005E-001	0
3.1449331E+003	1.001219994221174E+001	-2.2301506E-001	-7.091249347201922E-002	1.5814554E-005	-2.2311005E-001	0
3.2371060E+003	1.021219993715931E+001	-2.2507650E-001	-6.953015896468476E-002	1.5649604E-005	-2.2511005E-001	0
3.3278855E+003	1.041219993210689E+001	-2.2703564E-001	-6.822218967848759E-002	1.5488869E-005	-2.2711004E-001	0
3.4108044E+003	1.061219992705446E+001	-2.2901623E-001	-6.714434415110437E-002	1.5377145E-005	-2.2911005E-001	0
3.4986941E+003	1.081219992200204E+001	-2.3102483E-001	-6.603173367191273E-002	1.5254970E-005	-2.3111008E-001	0
3.5769148E+003	1.101219991694961E+001	-2.3306865E-001	-6.515912739391019E-002	1.5186550E-005	-2.3311004E-001	0
3.6576240E+003	1.121219991189719E+001	-2.3505431E-001	-6.426420882386513E-002	1.5105579E-005	-2.3511006E-001	0
3.7341853E+003	1.141219990684476E+001	-2.3706692E-001	-6.348558028583406E-002	1.5050331E-005	-2.3711005E-001	0
3.8113301E+003	1.161219990179234E+001	-2.3905407E-001	-6.272195216295762E-002	1.4993938E-005	-2.3911004E-001	0
3.8850771E+003	1.181219989673991E+001	-2.4106540E-001	-6.204906321614323E-002	1.4957882E-005	-2.4111006E-001	0
3.9590005E+003	1.201219989168749E+001	-2.4300419E-001	-6.138018793173028E-002	1.4915643E-005	-2.4311006E-001	0
4.0301255E+003	1.221219988663506E+001	-2.4505435E-001	-6.080563877320633E-002	1.4900686E-005	-2.4511005E-001	0
4.0997725E+003	1.241219988158264E+001	-2.4706487E-001	-6.026306635089840E-002	1.4888887E-005	-2.4711005E-001	0
