EC-Lab ASCII FILE
Nb header lines : 61                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -5.00 V, max = 5.00 V
Ewe,I filtering : <None>
Channel : Grounded
Acquisition started on : 02/16/2026 17:40:12.148
Technique started on : 02/16/2026 17:40:14.831
Loaded Setting File :  C:\Users\volt\Documents\Platalytix\PtPd_40_CoNi_2_12.mps
Saved on :
	File : Pt40PdNiCo_polished_2_16_02_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 127.0.0.1
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : Pt_40
Initial state : 
Electrolyte : KOH (1M)
Comments : 
Cable : standard
Reference electrode : Hg/HgO (0.140 V)
Electrode surface area : 1.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              -0.200              
vs.                 Ref                 
EL (V)              -2.500              
vs.                 Ref                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -5.000              
E range max (V)     5.000               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

Rwe/Ohm	time/s	Ewe/V	<I>/mA	Pwe/W	control/V	error	
0.0000000E+000	2.683400127425557E+000	-1.6920446E-001	0.000000000000000E+000	0.0000000E+000	0.0000000E+000	0
0.0000000E+000	7.683200001119985E+000	-2.7649684E-002	0.000000000000000E+000	0.0000000E+000	-1.9988027E-001	0
3.5842094E+004	7.883199996067560E+000	-2.0152925E-001	5.622697315411637E-003	-1.1331380E-006	-2.0178005E-001	0
1.8087257E+003	8.003199993036105E+000	-2.0274648E-001	-1.120935494469817E-001	2.2726572E-005	-2.0298010E-001	0
1.8478817E+003	8.213199987731059E+000	-2.0484504E-001	-1.108539767654150E-001	2.2707887E-005	-2.0508012E-001	0
2.0278517E+003	8.413199982678634E+000	-2.0683049E-001	-1.019948767276389E-001	2.1095650E-005	-2.0708011E-001	0
2.1927407E+003	8.613199977626209E+000	-2.0886347E-001	-9.525224350470940E-002	1.9894715E-005	-2.0908010E-001	0
2.3408899E+003	8.813199972573784E+000	-2.1087335E-001	-9.008255987977210E-002	1.8996012E-005	-2.1108012E-001	0
2.4754031E+003	9.013199967521359E+000	-2.1290907E-001	-8.600986240138164E-002	1.8312279E-005	-2.1308011E-001	0
2.5989753E+003	9.213199962468934E+000	-2.1486123E-001	-8.267151508976561E-002	1.7762903E-005	-2.1508011E-001	0
2.7138672E+003	9.413199957416509E+000	-2.1687107E-001	-7.991218657492583E-002	1.7330642E-005	-2.1708012E-001	0
2.8214382E+003	9.613199952364084E+000	-2.1886586E-001	-7.757244123485951E-002	1.6977960E-005	-2.1908008E-001	0
2.9226919E+003	9.813199947311659E+000	-2.2087041E-001	-7.557088038208315E-002	1.6691371E-005	-2.2108011E-001	0
3.0227637E+003	1.001319994225923E+001	-2.2288199E-001	-7.373450779622137E-002	1.6434095E-005	-2.2308011E-001	0
3.1156387E+003	1.021319993720681E+001	-2.2481163E-001	-7.215587094863293E-002	1.6221478E-005	-2.2508012E-001	0
3.2067009E+003	1.041319993215438E+001	-2.2691952E-001	-7.076416378460659E-002	1.6057769E-005	-2.2708009E-001	0
3.2944919E+003	1.061319992710196E+001	-2.2890286E-001	-6.948047183779266E-002	1.5904279E-005	-2.2908013E-001	0
3.3812092E+003	1.081319992204953E+001	-2.3089743E-001	-6.828841806575214E-002	1.5767620E-005	-2.3108010E-001	0
3.4636177E+003	1.101319991699711E+001	-2.3290472E-001	-6.724319530042744E-002	1.5661257E-005	-2.3308009E-001	0
3.5434858E+003	1.121319991194468E+001	-2.3488508E-001	-6.628644353205404E-002	1.5569696E-005	-2.3508012E-001	0
3.6249521E+003	1.141319990689226E+001	-2.3690131E-001	-6.535294745486986E-002	1.5482199E-005	-2.3708008E-001	0
3.7045845E+003	1.161319990183983E+001	-2.3886807E-001	-6.447904721396613E-002	1.5401985E-005	-2.3908010E-001	0
3.7823950E+003	1.181319989678741E+001	-2.4093246E-001	-6.369838707598829E-002	1.5347010E-005	-2.4108011E-001	0
3.8563391E+003	1.201319989173498E+001	-2.4287146E-001	-6.297980043604201E-002	1.5295996E-005	-2.4308009E-001	0
3.9314065E+003	1.221319988668256E+001	-2.4481662E-001	-6.227201688876322E-002	1.5245225E-005	-2.4508010E-001	0
4.0070613E+003	1.241319988163013E+001	-2.4689032E-001	-6.161381279766701E-002	1.5211854E-005	-2.4708010E-001	0
4.0778828E+003	1.261319987657771E+001	-2.4890995E-001	-6.103901379971921E-002	1.5193218E-005	-2.4908011E-001	0
4.1501089E+003	1.281319987152528E+001	-2.5087097E-001	-6.044925269385693E-002	1.5164963E-005	-2.5108010E-001	0
4.2224058E+003	1.301319986647286E+001	-2.5288254E-001	-5.989062971363679E-002	1.5145294E-005	-2.5308010E-001	0
4.2912871E+003	1.321319986142043E+001	-2.5490299E-001	-5.940012506139614E-002	1.5141270E-005	-2.5508010E-001	0
4.3638638E+003	1.341319985636801E+001	-2.5690311E-001	-5.887056044049443E-002	1.5124030E-005	-2.5708011E-001	0
4.4262427E+003	1.361319985131559E+001	-2.5890365E-001	-5.849287187936103E-002	1.5144018E-005	-2.5908011E-001	0
4.4975195E+003	1.381319984626316E+001	-2.6086682E-001	-5.800237338419778E-002	1.5130895E-005	-2.6108009E-001	0
4.5647847E+003	1.401319984121074E+001	-2.6284057E-001	-5.758005957321921E-002	1.5134376E-005	-2.6308012E-001	0
4.6353687E+003	1.421319983615831E+001	-2.6482093E-001	-5.713050227344052E-002	1.5129353E-005	-2.6508009E-001	0
4.7006709E+003	1.441319983110589E+001	-2.6687220E-001	-5.677321321561157E-002	1.5151192E-005	-2.6708013E-001	0
4.7660269E+003	1.461319982605346E+001	-2.6885170E-001	-5.641002334493805E-002	1.5165931E-005	-2.6908010E-001	0
4.8328433E+003	1.481319982100104E+001	-2.7087134E-001	-5.604802978978995E-002	1.5181805E-005	-2.7108011E-001	0
4.9042285E+003	1.501319981594861E+001	-2.7286926E-001	-5.563958939861768E-002	1.5182333E-005	-2.7308008E-001	0
4.9643159E+003	1.521319981089619E+001	-2.7487487E-001	-5.537013846498107E-002	1.5219859E-005	-2.7508008E-001	0
5.0287412E+003	1.541319980584376E+001	-2.7686244E-001	-5.505601501793456E-002	1.5242943E-005	-2.7708012E-001	0
5.0890737E+003	1.561319980079134E+001	-2.7885407E-001	-5.479465906567416E-002	1.5279715E-005	-2.7908012E-001	0
5.1534419E+003	1.581319979573891E+001	-2.8086013E-001	-5.449952073120734E-002	1.5306743E-005	-2.8108013E-001	0
5.2177305E+003	1.601319979068649E+001	-2.8285044E-001	-5.420947862607425E-002	1.5333175E-005	-2.8308010E-001	0
5.2779756E+003	1.621319978563406E+001	-2.8485242E-001	-5.397001454710149E-002	1.5373489E-005	-2.8508011E-001	0
5.3451963E+003	1.641319978058164E+001	-2.8688353E-001	-5.367127995010945E-002	1.5397407E-005	-2.8708011E-001	0
5.4032515E+003	1.661319977552921E+001	-2.8889486E-001	-5.346685680117294E-002	1.5446300E-005	-2.8908011E-001	0
5.4622261E+003	1.681319977047679E+001	-2.9089093E-001	-5.325501666313492E-002	1.5491401E-005	-2.9108009E-001	0
5.5181719E+003	1.701319976542436E+001	-2.9287681E-001	-5.307496856325744E-002	1.5544427E-005	-2.9308009E-001	0
5.5793521E+003	1.721319976037194E+001	-2.9488686E-001	-5.285324637890043E-002	1.5585727E-005	-2.9508010E-001	0
5.6376851E+003	1.741319975531951E+001	-2.9688761E-001	-5.266126100704605E-002	1.5634476E-005	-2.9708010E-001	0
5.6936816E+003	1.761319975026709E+001	-2.9888663E-001	-5.249443989407576E-002	1.5689886E-005	-2.9908010E-001	0
5.7563433E+003	1.781319974521466E+001	-3.0088204E-001	-5.226965106985682E-002	1.5726999E-005	-3.0108014E-001	0
5.8119927E+003	1.801319974016224E+001	-3.0288532E-001	-5.211385114481693E-002	1.5784521E-005	-3.0308008E-001	0
5.8643643E+003	1.821319973510981E+001	-3.0483386E-001	-5.198071788850744E-002	1.5845482E-005	-3.0508012E-001	0
5.9248516E+003	1.841319973005739E+001	-3.0686241E-001	-5.179242172348131E-002	1.5893147E-005	-3.0708009E-001	0
5.9800107E+003	1.861319972500496E+001	-3.0888623E-001	-5.165312307582659E-002	1.5954938E-005	-3.0908009E-001	0
6.0329717E+003	1.881319971995254E+001	-3.1089252E-001	-5.153223574467747E-002	1.6020987E-005	-3.1108010E-001	0
6.0916704E+003	1.901319971490011E+001	-3.1291300E-001	-5.136735482318766E-002	1.6073513E-005	-3.1308010E-001	0
6.1464771E+003	1.921319970984769E+001	-3.1486788E-001	-5.122737468023897E-002	1.6129856E-005	-3.1508011E-001	0
6.1946899E+003	1.941319970479526E+001	-3.1686077E-001	-5.115038172559418E-002	1.6207548E-005	-3.1708011E-001	0
6.2507490E+003	1.961319969974284E+001	-3.1887314E-001	-5.101358681197066E-002	1.6266862E-005	-3.1908011E-001	0
6.2989326E+003	1.981319969469041E+001	-3.2092205E-001	-5.094863776256930E-002	1.6350541E-005	-3.2108012E-001	0
6.3570293E+003	2.001319968963799E+001	-3.2289669E-001	-5.079364535966857E-002	1.6401100E-005	-3.2308012E-001	0
6.4011816E+003	2.021319968458556E+001	-3.2487661E-001	-5.075259931605164E-002	1.6488333E-005	-3.2508010E-001	0
6.4516792E+003	2.041319967953314E+001	-3.2690600E-001	-5.066990871837705E-002	1.6564298E-005	-3.2708010E-001	0
6.5018687E+003	2.061319967448071E+001	-3.2891244E-001	-5.058736933918995E-002	1.6638814E-005	-3.2908010E-001	0
6.5558330E+003	2.081319966942829E+001	-3.3084211E-001	-5.046530253868442E-002	1.6696047E-005	-3.3108011E-001	0
6.6038760E+003	2.101319966437586E+001	-3.3287150E-001	-5.040547198060558E-002	1.6778546E-005	-3.3308011E-001	0
6.6469077E+003	2.121319965932344E+001	-3.3485606E-001	-5.037772097696669E-002	1.6869286E-005	-3.3508012E-001	0
6.6883340E+003	2.141319965427101E+001	-3.3688843E-001	-5.036955863309189E-002	1.6968921E-005	-3.3708012E-001	0
6.7421758E+003	2.161319964921859E+001	-3.3894560E-001	-5.027243535165307E-002	1.7039622E-005	-3.3908013E-001	0
