EC-Lab ASCII FILE
Nb header lines : 63                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -2.50 V, max = 2.50 V
Ewe,I filtering : <None>
Safety Limits :
	Do not start on E overload
Channel : Floating
Acquisition started on : 02/06/2026 13:06:51.943
Technique started on : 02/06/2026 13:06:54.625
Loaded Setting File :  NONE
Saved on :
	File : Pt40Pt20Ni20Co20_polished_2-6_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 127.0.0.1
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : Pt20Pd20Ni40Co20
Initial state : 
Electrolyte : KOH (1M)
Comments : 
Cable : standard
Reference electrode : Hg/HgO (0.140 V)
Electrode surface area : 1.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              -0.200              
vs.                 Ref                 
EL (V)              -2.500              
vs.                 Ref                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -2.500              
E range max (V)     2.500               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

Rwe/Ohm	time/s	Ewe/V	<I>/mA	Pwe/W	control/V	error	
0.0000000E+000	2.682400127378060E+000	-1.6981734E-001	0.000000000000000E+000	0.0000000E+000	0.0000000E+000	0
0.0000000E+000	7.682200001072488E+000	-1.4143514E-002	0.000000000000000E+000	0.0000000E+000	-1.9995160E-001	0
6.5134751E+003	7.872199996272684E+000	-2.0170535E-001	-3.096739338710908E-002	6.2462891E-006	-2.0180148E-001	0
1.6995748E+003	7.927199994883267E+000	-2.0224388E-001	-1.189967464985481E-001	2.4066363E-005	-2.0235154E-001	0
1.4625526E+003	8.042199991978123E+000	-2.0335972E-001	-1.390443755674882E-001	2.8276027E-005	-2.0350152E-001	0
1.6095433E+003	8.157199989072979E+000	-2.0451625E-001	-1.270647677420469E-001	2.5986810E-005	-2.0465153E-001	0
1.7161208E+003	8.257199986546766E+000	-2.0553695E-001	-1.197683425206280E-001	2.4616820E-005	-2.0565152E-001	0
1.8142078E+003	8.357199984020554E+000	-2.0648631E-001	-1.138162448898787E-001	2.3501498E-005	-2.0665148E-001	0
1.9049934E+003	8.457199981494341E+000	-2.0750043E-001	-1.089244845012823E-001	2.2601876E-005	-2.0765145E-001	0
1.9926121E+003	8.557199978968129E+000	-2.0856929E-001	-1.046712963186482E-001	2.1831218E-005	-2.0865139E-001	0
2.0704456E+003	8.657199976441916E+000	-2.0949087E-001	-1.011815319286176E-001	2.1196607E-005	-2.0965137E-001	0
2.1471196E+003	8.757199973915704E+000	-2.1051942E-001	-9.804736274398040E-002	2.0640873E-005	-2.1065134E-001	0
2.2169119E+003	8.857199971389491E+000	-2.1150996E-001	-9.540747397544713E-002	2.0179630E-005	-2.1165131E-001	0
2.2827314E+003	8.957199968863279E+000	-2.1249563E-001	-9.308831081553270E-002	1.9780859E-005	-2.1265128E-001	0
2.3482576E+003	9.057199966337066E+000	-2.1347597E-001	-9.090824727038016E-002	1.9406727E-005	-2.1365122E-001	0
2.4070623E+003	9.157199963810854E+000	-2.1455438E-001	-8.913536539680722E-002	1.9124383E-005	-2.1465120E-001	0
2.4657466E+003	9.257199961284641E+000	-2.1554707E-001	-8.741655040325391E-002	1.8842382E-005	-2.1565117E-001	0
2.5191511E+003	9.357199958758429E+000	-2.1653272E-001	-8.595463706835826E-002	1.8611992E-005	-2.1665114E-001	0
2.5758423E+003	9.457199956232216E+000	-2.1753472E-001	-8.445187900387885E-002	1.8371216E-005	-2.1765110E-001	0
2.6235432E+003	9.557199953706004E+000	-2.1853718E-001	-8.329848763188008E-002	1.8203817E-005	-2.1865109E-001	0
2.6788794E+003	9.657199951179791E+000	-2.1954542E-001	-8.195420458085001E-002	1.7992670E-005	-2.1965106E-001	0
2.7303945E+003	9.757199948653579E+000	-2.2054921E-001	-8.077558622419567E-002	1.7814991E-005	-2.2065151E-001	0
2.7792405E+003	9.857199946127366E+000	-2.2151071E-001	-7.970188638298870E-002	1.7654822E-005	-2.2165152E-001	0
2.8229333E+003	9.957199943601154E+000	-2.2249277E-001	-7.881616120640605E-002	1.7536026E-005	-2.2265150E-001	0
2.8701377E+003	1.005719994107494E+001	-2.2350667E-001	-7.787315331019995E-002	1.7405169E-005	-2.2365144E-001	0
2.9117231E+003	1.015719993854873E+001	-2.2451736E-001	-7.710807239291850E-002	1.7312101E-005	-2.2465144E-001	0
2.9555166E+003	1.025719993602252E+001	-2.2550918E-001	-7.630110303526383E-002	1.7206599E-005	-2.2565138E-001	0
2.9987449E+003	1.035719993349630E+001	-2.2651736E-001	-7.553738942024868E-002	1.7110531E-005	-2.2665139E-001	0
3.0427966E+003	1.045719993097009E+001	-2.2755291E-001	-7.478412931474554E-002	1.7017346E-005	-2.2765131E-001	0
3.0853699E+003	1.055719992844388E+001	-2.2854704E-001	-7.407443852301809E-002	1.6929493E-005	-2.2865130E-001	0
3.1263667E+003	1.065719992591767E+001	-2.2951935E-001	-7.341408826134832E-002	1.6849954E-005	-2.2965123E-001	0
3.1652795E+003	1.075719992339145E+001	-2.3055214E-001	-7.283784281807348E-002	1.6792921E-005	-2.3065123E-001	0
3.2070483E+003	1.085719992086524E+001	-2.3152466E-001	-7.219244408662662E-002	1.6714332E-005	-2.3165119E-001	0
3.2426270E+003	1.095719991833903E+001	-2.3258607E-001	-7.172767066879676E-002	1.6682858E-005	-2.3265116E-001	0
3.2830742E+003	1.105719991581282E+001	-2.3350744E-001	-7.112462758259092E-002	1.6608130E-005	-2.3365112E-001	0
3.3194771E+003	1.115719991328660E+001	-2.3445855E-001	-7.063116847227024E-002	1.6560081E-005	-2.3465109E-001	0
3.3645549E+003	1.125719991076039E+001	-2.3552591E-001	-7.000209648955513E-002	1.6487307E-005	-2.3565106E-001	0
3.3996814E+003	1.135719990823418E+001	-2.3655930E-001	-6.958278316004124E-002	1.6460455E-005	-2.3665100E-001	0
3.4365715E+003	1.145719990570797E+001	-2.3756218E-001	-6.912766958379901E-002	1.6422120E-005	-2.3765101E-001	0
3.4725276E+003	1.155719990318175E+001	-2.3853938E-001	-6.869330235618949E-002	1.6386059E-005	-2.3865095E-001	0
3.5105134E+003	1.165719990065554E+001	-2.3952927E-001	-6.823197718606197E-002	1.6343556E-005	-2.3965095E-001	0
3.5475002E+003	1.175719989812933E+001	-2.4053104E-001	-6.780296642574724E-002	1.6308719E-005	-2.4065088E-001	0
3.5836152E+003	1.185719989560312E+001	-2.4154177E-001	-6.740170597374717E-002	1.6280328E-005	-2.4165086E-001	0
3.6175793E+003	1.195719989307690E+001	-2.4251810E-001	-6.703877666344282E-002	1.6258116E-005	-2.4265079E-001	0
3.6502302E+003	1.205719989055069E+001	-2.4351844E-001	-6.671317439112401E-002	1.6245889E-005	-2.4365079E-001	0
