EC-Lab ASCII FILE
Nb header lines : 63                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -5.00 V, max = 5.00 V
Ewe,I filtering : <None>
Safety Limits :
	Do not start on E overload
Channel : Floating
Acquisition started on : 02/12/2026 12:05:14.449
Technique started on : 02/12/2026 12:05:17.287
Loaded Setting File :  C:\Users\volt\Documents\Platalytix\PtPdCoNiCr_2_11_polished_01_ZIR_C01.mpr
Saved on :
	File : X18_75_polished_2-12_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 127.0.0.1
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : Pt18.75Pd18.75Ni18.75Co18.75Cr25
Initial state : 
Electrolyte : KOH (1M)
Comments : before polishing
Cable : standard
Reference electrode : Hg/HgO (0.140 V)
Electrode surface area : 1.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              -0.200              
vs.                 Ref                 
EL (V)              -2.500              
vs.                 Ref                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -5.000              
E range max (V)     5.000               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

Rwe/Ohm	time/s	Ewe/V	<I>/mA	Pwe/W	control/V	error	
0.0000000E+000	2.838400134787662E+000	-1.4976832E-001	0.000000000000000E+000	0.0000000E+000	0.0000000E+000	0
0.0000000E+000	7.838200008482090E+000	-4.0394347E-002	0.000000000000000E+000	0.0000000E+000	-1.9981328E-001	0
5.5123428E+003	8.038200003429665E+000	-2.0156498E-001	3.656612051243424E-002	-7.3704496E-006	-2.0171306E-001	0
2.2032708E+003	8.158200000398210E+000	-2.0274681E-001	-9.202083550935258E-002	1.8656930E-005	-2.0291311E-001	0
2.0681658E+003	8.368199995093164E+000	-2.0482226E-001	-9.903571129799771E-002	2.0284719E-005	-2.0501311E-001	0
2.2163455E+003	8.568199990040739E+000	-2.0683825E-001	-9.332401154968317E-002	1.9302975E-005	-2.0701312E-001	0
2.3714541E+003	8.768199984988314E+000	-2.0884468E-001	-8.806608383471981E-002	1.8392133E-005	-2.0901312E-001	0
2.5170459E+003	8.968199979935889E+000	-2.1084563E-001	-8.376709892902379E-002	1.7661927E-005	-2.1101311E-001	0
2.6532236E+003	9.168199974883464E+000	-2.1284272E-001	-8.022041818023573E-002	1.7074331E-005	-2.1301313E-001	0
2.7815127E+003	9.368199969831039E+000	-2.1489291E-001	-7.725757196104244E-002	1.6602104E-005	-2.1501310E-001	0
2.9011021E+003	9.568199964778614E+000	-2.1681322E-001	-7.473477801939465E-002	1.6203488E-005	-2.1701311E-001	0
3.0163962E+003	9.768199959726189E+000	-2.1888544E-001	-7.256521422853124E-002	1.5883468E-005	-2.1901312E-001	0
3.1256018E+003	9.968199954673764E+000	-2.2082718E-001	-7.065108963108857E-002	1.5601681E-005	-2.2101311E-001	0
3.2321575E+003	1.016819994962134E+001	-2.2282515E-001	-6.894006565648193E-002	1.5361580E-005	-2.2301312E-001	0
3.3357659E+003	1.036819994456891E+001	-2.2483180E-001	-6.740035710417047E-002	1.5153744E-005	-2.2501312E-001	0
3.4328804E+003	1.056819993951649E+001	-2.2684927E-001	-6.608132207913997E-002	1.4990500E-005	-2.2701311E-001	0
3.5325027E+003	1.076819993446406E+001	-2.2885360E-001	-6.478511775440476E-002	1.4826307E-005	-2.2901312E-001	0
3.6256360E+003	1.096819992941164E+001	-2.3082931E-001	-6.366588242875743E-002	1.4695952E-005	-2.3101312E-001	0
3.7170034E+003	1.116819992435921E+001	-2.3287354E-001	-6.265088295048782E-002	1.4589733E-005	-2.3301312E-001	0
3.8114644E+003	1.136819991930679E+001	-2.3484838E-001	-6.161631222617914E-002	1.4470491E-005	-2.3501310E-001	0
3.8981326E+003	1.156819991425436E+001	-2.3683976E-001	-6.075723554681389E-002	1.4389729E-005	-2.3701313E-001	0
3.9893254E+003	1.176819990920194E+001	-2.3883432E-001	-5.986834606662600E-002	1.4298615E-005	-2.3901309E-001	0
4.0761643E+003	1.196819990414951E+001	-2.4084204E-001	-5.908546173499435E-002	1.4230263E-005	-2.4101309E-001	0
4.1611528E+003	1.216819989909709E+001	-2.4284150E-001	-5.835918906723436E-002	1.4172033E-005	-2.4301313E-001	0
4.2485850E+003	1.236819989404466E+001	-2.4486341E-001	-5.763411136711555E-002	1.4112485E-005	-2.4501309E-001	0
4.3312852E+003	1.256819988899224E+001	-2.4683104E-001	-5.698794450467237E-002	1.4066394E-005	-2.4701311E-001	0
4.4181333E+003	1.276819988393981E+001	-2.4883348E-001	-5.632095160638584E-002	1.4014538E-005	-2.4901311E-001	0
4.4992754E+003	1.296819987888739E+001	-2.5083721E-001	-5.575058025269974E-002	1.3984320E-005	-2.5101310E-001	0
4.5818018E+003	1.316819987383496E+001	-2.5285488E-001	-5.518678248418571E-002	1.3954247E-005	-2.5301310E-001	0
4.6677207E+003	1.336819986878254E+001	-2.5485879E-001	-5.460026593775369E-002	1.3915358E-005	-2.5501311E-001	0
4.7460352E+003	1.356819986373011E+001	-2.5683022E-001	-5.411469039893713E-002	1.3898288E-005	-2.5701311E-001	0
4.8258130E+003	1.376819985867769E+001	-2.5880608E-001	-5.362953037253737E-002	1.3879649E-005	-2.5901312E-001	0
4.9110688E+003	1.396819985362527E+001	-2.6083121E-001	-5.311088301209727E-002	1.3852976E-005	-2.6101312E-001	0
4.9890659E+003	1.416819984857284E+001	-2.6283088E-001	-5.268138329986316E-002	1.3846295E-005	-2.6301309E-001	0
5.0695469E+003	1.436819984352042E+001	-2.6484010E-001	-5.224137631394910E-002	1.3835611E-005	-2.6501313E-001	0
5.1526875E+003	1.456819983846799E+001	-2.6683697E-001	-5.178597944053699E-002	1.3818414E-005	-2.6701310E-001	0
5.2331328E+003	1.476819983341557E+001	-2.6881903E-001	-5.136866501348745E-002	1.3808875E-005	-2.6901311E-001	0
5.3080708E+003	1.496819982836314E+001	-2.7082783E-001	-5.102189595107792E-002	1.3818149E-005	-2.7101311E-001	0
5.3903647E+003	1.516819982331072E+001	-2.7279419E-001	-5.060774083682187E-002	1.3805497E-005	-2.7301311E-001	0
5.4738276E+003	1.536819981825829E+001	-2.7487597E-001	-5.021640833503138E-002	1.3803284E-005	-2.7501312E-001	0
5.5502109E+003	1.556819981320587E+001	-2.7683449E-001	-4.987819157456330E-002	1.3808004E-005	-2.7701312E-001	0
5.6283662E+003	1.576819980815344E+001	-2.7884898E-001	-4.954350330389570E-002	1.3815155E-005	-2.7901310E-001	0
5.7127124E+003	1.596819980310102E+001	-2.8088412E-001	-4.916825976387490E-002	1.3810583E-005	-2.8101310E-001	0
5.7878164E+003	1.616819979804859E+001	-2.8280523E-001	-4.886216307275389E-002	1.3818475E-005	-2.8301311E-001	0
5.8659487E+003	1.636819979299617E+001	-2.8482506E-001	-4.855566651902488E-002	1.3829870E-005	-2.8501311E-001	0
5.9472197E+003	1.656819978794374E+001	-2.8685099E-001	-4.823278902149242E-002	1.3835624E-005	-2.8701308E-001	0
6.0244512E+003	1.676819978289132E+001	-2.8882799E-001	-4.794262200588684E-002	1.3847171E-005	-2.8901309E-001	0
6.1062285E+003	1.696819977783889E+001	-2.9085758E-001	-4.763293496276044E-002	1.3854400E-005	-2.9101312E-001	0
6.1864668E+003	1.716819977278647E+001	-2.9283768E-001	-4.733520483993037E-002	1.3861531E-005	-2.9301310E-001	0
6.2625293E+003	1.736819976773404E+001	-2.9482338E-001	-4.707736458551220E-002	1.3879508E-005	-2.9501310E-001	0
6.3437925E+003	1.756819976268162E+001	-2.9686525E-001	-4.679618074712835E-002	1.3892160E-005	-2.9701310E-001	0
6.4220420E+003	1.776819975762919E+001	-2.9881653E-001	-4.652983080511253E-002	1.3903883E-005	-2.9901311E-001	0
6.5002319E+003	1.796819975257677E+001	-3.0080876E-001	-4.627661939389394E-002	1.3920412E-005	-3.0101311E-001	0
6.5776870E+003	1.816819974752434E+001	-3.0283388E-001	-4.603956891287164E-002	1.3942342E-005	-3.0301315E-001	0
6.6614883E+003	1.836819974247192E+001	-3.0481318E-001	-4.575751914538218E-002	1.3947495E-005	-3.0501309E-001	0
6.7371938E+003	1.856819973741949E+001	-3.0684274E-001	-4.554459299890090E-002	1.3975028E-005	-3.0701309E-001	0
6.8140889E+003	1.876819973236707E+001	-3.0882883E-001	-4.532210233245393E-002	1.3996771E-005	-3.0901310E-001	0
6.9379731E+003	1.900819972630416E+001	-3.1123364E-001	-4.485944820955046E-002	1.3961770E-005	-3.1141311E-001	0
7.0207495E+003	1.920819972125173E+001	-3.1319150E-001	-4.460941013471431E-002	1.3971288E-005	-3.1341311E-001	0
7.0963789E+003	1.940819971619931E+001	-3.1518754E-001	-4.441526516123157E-002	1.3999138E-005	-3.1541309E-001	0
7.1766704E+003	1.960819971114688E+001	-3.1721580E-001	-4.420097058115191E-002	1.4021246E-005	-3.1741309E-001	0
7.2586494E+003	1.980819970609446E+001	-3.1922719E-001	-4.397886749114122E-002	1.4039250E-005	-3.1941313E-001	0
7.3323574E+003	2.000819970104203E+001	-3.2121027E-001	-4.380722835347384E-002	1.4071332E-005	-3.2141310E-001	0
7.4157739E+003	2.020819969598961E+001	-3.2325405E-001	-4.359006121820105E-002	1.4090664E-005	-3.2341310E-001	0
7.4946475E+003	2.040819969093718E+001	-3.2521933E-001	-4.339354570697396E-002	1.4112420E-005	-3.2541311E-001	0
7.5693413E+003	2.060819968588476E+001	-3.2721052E-001	-4.322839970964432E-002	1.4144787E-005	-3.2741308E-001	0
7.6516670E+003	2.080819968083233E+001	-3.2924902E-001	-4.302971189088767E-002	1.4167491E-005	-3.2941312E-001	0
7.7300762E+003	2.100819967577991E+001	-3.3120200E-001	-4.284588987052082E-002	1.4190645E-005	-3.3141309E-001	0
7.8104678E+003	2.120819967072748E+001	-3.3320060E-001	-4.266077339228941E-002	1.4214595E-005	-3.3341312E-001	0
7.8915322E+003	2.140819966567506E+001	-3.3523887E-001	-4.248083361066547E-002	1.4241226E-005	-3.3541310E-001	0
7.9711553E+003	2.160819966062263E+001	-3.3722711E-001	-4.230592512898379E-002	1.4266705E-005	-3.3741313E-001	0
8.0476836E+003	2.180819965557021E+001	-3.3925667E-001	-4.215581785695299E-002	1.4301642E-005	-3.3941311E-001	0
8.1214692E+003	2.200819965051778E+001	-3.4123552E-001	-4.201647546485515E-002	1.4337514E-005	-3.4141311E-001	0
8.2058711E+003	2.220819964546536E+001	-3.4326914E-001	-4.183213720377948E-002	1.4359682E-005	-3.4341311E-001	0
8.2853662E+003	2.240819964041293E+001	-3.4524143E-001	-4.166881763798669E-002	1.4385802E-005	-3.4541312E-001	0
8.3659609E+003	2.260819963536051E+001	-3.4723553E-001	-4.150575449291077E-002	1.4412272E-005	-3.4741312E-001	0
8.4446221E+003	2.280819963030808E+001	-3.4924227E-001	-4.135676882891798E-002	1.4443532E-005	-3.4941313E-001	0
8.5254404E+003	2.300819962525566E+001	-3.5122347E-001	-4.119710611071759E-002	1.4469390E-005	-3.5141313E-001	0
8.5991904E+003	2.320819962020323E+001	-3.5321084E-001	-4.107489435175371E-002	1.4508098E-005	-3.5341311E-001	0
8.6835986E+003	2.340819961515081E+001	-3.5521451E-001	-4.090636993585212E-002	1.4530536E-005	-3.5541314E-001	0
8.7612969E+003	2.360819961009838E+001	-3.5720950E-001	-4.077130466458834E-002	1.4563898E-005	-3.5741311E-001	0
8.8420391E+003	2.380819960504596E+001	-3.5923314E-001	-4.062786316335449E-002	1.4594875E-005	-3.5941309E-001	0
8.9204570E+003	2.400819959999353E+001	-3.6122409E-001	-4.049389915199753E-002	1.4627371E-005	-3.6141312E-001	0
8.9976807E+003	2.420819959494111E+001	-3.6321825E-001	-4.036798405877035E-002	1.4662389E-005	-3.6341313E-001	0
9.0794775E+003	2.440819958988868E+001	-3.6522344E-001	-4.022515949934642E-002	1.4691171E-005	-3.6541310E-001	0
9.1625244E+003	2.460819958483626E+001	-3.6722881E-001	-4.007943388778953E-002	1.4718323E-005	-3.6741313E-001	0
9.2384287E+003	2.480819957978383E+001	-3.6918983E-001	-3.996240594181411E-002	1.4753714E-005	-3.6941311E-001	0
9.3177734E+003	2.500819957473141E+001	-3.7120903E-001	-3.983881034045700E-002	1.4788526E-005	-3.7141314E-001	0
9.3891416E+003	2.520819956967898E+001	-3.7320527E-001	-3.974860423543358E-002	1.4834389E-005	-3.7341312E-001	0
9.4738584E+003	2.540819956462656E+001	-3.7521726E-001	-3.960554002807448E-002	1.4860682E-005	-3.7541315E-001	0
9.5464355E+003	2.560819955957413E+001	-3.7720630E-001	-3.951278989427121E-002	1.4904473E-005	-3.7741312E-001	0
9.6302139E+003	2.580819955452171E+001	-3.7922928E-001	-3.937911222342506E-002	1.4933712E-005	-3.7941310E-001	0
9.7116357E+003	2.600819954946928E+001	-3.8126102E-001	-3.925816645627195E-002	1.4967609E-005	-3.8141310E-001	0
9.7931807E+003	2.620819954441686E+001	-3.8325095E-001	-3.913447006696369E-002	1.4998323E-005	-3.8341311E-001	0
9.8659756E+003	2.640819953936443E+001	-3.8520560E-001	-3.904384410150286E-002	1.5039907E-005	-3.8541314E-001	0
9.9482041E+003	2.660819953431201E+001	-3.8722607E-001	-3.892421988213901E-002	1.5072473E-005	-3.8741314E-001	0
1.0024110E+004	2.680819952925958E+001	-3.8925412E-001	-3.883178584972441E-002	1.5115433E-005	-3.8941312E-001	0
1.0100577E+004	2.700819952420716E+001	-3.9122245E-001	-3.873268097703475E-002	1.5153094E-005	-3.9141309E-001	0
1.0181804E+004	2.720819951915473E+001	-3.9321294E-001	-3.861918177982571E-002	1.5185562E-005	-3.9341316E-001	0
1.0259324E+004	2.740819951410231E+001	-3.9517018E-001	-3.851814907996606E-002	1.5221224E-005	-3.9541316E-001	0
1.0354954E+004	2.760819950904988E+001	-3.9723077E-001	-3.836142258426119E-002	1.5238337E-005	-3.9741313E-001	0
1.0445308E+004	2.780819950399746E+001	-3.9926949E-001	-3.822477137941277E-002	1.5261985E-005	-3.9941311E-001	0
1.0520835E+004	2.800819949894503E+001	-4.0115684E-001	-3.812975329484225E-002	1.5296011E-005	-4.0141314E-001	0
1.0606886E+004	2.820819949389261E+001	-4.0323085E-001	-3.801594955831877E-002	1.5329204E-005	-4.0341312E-001	0
1.0682925E+004	2.840819948884018E+001	-4.0525445E-001	-3.793478446332599E-002	1.5373240E-005	-4.0541312E-001	0
