EC-Lab ASCII FILE
Nb header lines : 61                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -5.00 V, max = 5.00 V
Ewe,I filtering : <None>
Channel : Grounded
Acquisition started on : 02/05/2026 17:41:08.074
Technique started on : 02/05/2026 17:41:10.757
Loaded Setting File :  NONE
Saved on :
	File : Pt_22.5_Pd_22.5_Ni_22.5_Co_22_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 127.0.0.1
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : PtPdNiCoCr
Initial state : 
Electrolyte : 1 M KOH
Comments : 
Cable : standard
Reference electrode : Hg/HgO (0.140 V)
Electrode surface area : 1.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              -0.200              
vs.                 Ref                 
EL (V)              -2.000              
vs.                 Ref                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -5.000              
E range max (V)     5.000               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

Rwe/Ohm	time/s	Ewe/V	<I>/mA	Pwe/W	control/V	error	
0.0000000E+000	2.683400127425557E+000	-1.6860625E-001	0.000000000000000E+000	0.0000000E+000	0.0000000E+000	0
0.0000000E+000	7.683200001119985E+000	-4.1107539E-002	0.000000000000000E+000	0.0000000E+000	-1.9988312E-001	0
1.8983080E+003	7.883199996067560E+000	-2.0168586E-001	-1.062450703233481E-001	2.1428128E-005	-2.0178290E-001	0
1.3536221E+003	8.003199993036105E+000	-2.0292322E-001	-1.499112808782299E-001	3.0420480E-005	-2.0298293E-001	0
1.5973029E+003	8.213199987731059E+000	-2.0500463E-001	-1.283442494068756E-001	2.6311165E-005	-2.0508292E-001	0
1.8099510E+003	8.413199982678634E+000	-2.0710072E-001	-1.144233831899273E-001	2.3697165E-005	-2.0708279E-001	0
1.9855499E+003	8.613199977626209E+000	-2.0900290E-001	-1.052619706725277E-001	2.2000057E-005	-2.0908271E-001	0
2.1383164E+003	8.813199972573784E+000	-2.1107209E-001	-9.870947082738174E-002	2.0834814E-005	-2.1108261E-001	0
2.2717043E+003	9.013199967521359E+000	-2.1303450E-001	-9.377738375315969E-002	1.9977817E-005	-2.1308248E-001	0
2.3932195E+003	9.213199962468934E+000	-2.1505442E-001	-8.985988133113870E-002	1.9324765E-005	-2.1508239E-001	0
2.5035938E+003	9.413199957416509E+000	-2.1704338E-001	-8.669272908790981E-002	1.8816083E-005	-2.1708226E-001	0
2.6068259E+003	9.613199952364084E+000	-2.1905653E-001	-8.403190148386080E-002	1.8407736E-005	-2.1908213E-001	0
2.7020408E+003	9.813199947311659E+000	-2.2105122E-001	-8.180898982849882E-002	1.8083976E-005	-2.2108203E-001	0
