EC-Lab ASCII FILE
Nb header lines : 63                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -5.00 V, max = 5.00 V
Ewe,I filtering : <None>
Safety Limits :
	Do not start on E overload
Channel : Floating
Acquisition started on : 03/03/2026 16:31:25.043
Technique started on : 03/03/2026 16:31:27.726
Loaded Setting File :  NONE
Saved on :
	File : X18_75_N52magA_flat_3-3_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 127.0.0.1
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : Ni40
Initial state : 
Electrolyte : KOH (1 M)
Comments : with magnet side A (+), N52 Nd magnet, alloy placed lying flat on magnet
Cable : standard
Reference electrode : Hg/HgO (0.140 V)
Electrode surface area : 1.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              -0.200              
vs.                 Ref                 
EL (V)              -2.500              
vs.                 Ref                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -5.000              
E range max (V)     5.000               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

Rwe/Ohm	time/s	Ewe/V	<I>/mA	Pwe/W	control/V	error	
0.0000000E+000	2.683400127425557E+000	-1.5482235E-001	0.000000000000000E+000	0.0000000E+000	0.0000000E+000	0
0.0000000E+000	7.683200001119985E+000	-4.2956937E-002	0.000000000000000E+000	0.0000000E+000	-1.9987875E-001	0
8.9115391E+003	7.883199996067560E+000	-2.0158906E-001	2.262112790020177E-002	-4.5601719E-006	-2.0177853E-001	0
1.7207065E+003	8.003199993036105E+000	-2.0279689E-001	-1.178567589802333E-001	2.3900984E-005	-2.0297860E-001	0
1.7178724E+003	8.213199987731059E+000	-2.0488581E-001	-1.192671852650928E-001	2.4436154E-005	-2.0507857E-001	0
1.8518945E+003	8.413199982678634E+000	-2.0688485E-001	-1.117152437628955E-001	2.3112190E-005	-2.0707859E-001	0
1.9836516E+003	8.613199977626209E+000	-2.0890173E-001	-1.053117018345060E-001	2.1999796E-005	-2.0907858E-001	0
2.1064529E+003	8.813199972573784E+000	-2.1088612E-001	-1.001143328214060E-001	2.1112723E-005	-2.1107858E-001	0
2.2200872E+003	9.013199967521359E+000	-2.1285866E-001	-9.587851766752409E-002	2.0408574E-005	-2.1307859E-001	0
2.3277544E+003	9.213199962468934E+000	-2.1490334E-001	-9.232217555151889E-002	1.9840343E-005	-2.1507856E-001	0
2.4277827E+003	9.413199957416509E+000	-2.1686205E-001	-8.932514781556833E-002	1.9371235E-005	-2.1707858E-001	0
2.5229883E+003	9.613199952364084E+000	-2.1887024E-001	-8.675039415786234E-002	1.8987079E-005	-2.1907859E-001	0
2.6165776E+003	9.813199947311659E+000	-2.2094037E-001	-8.443867940035377E-002	1.8655914E-005	-2.2107857E-001	0
2.7039412E+003	1.001319994225923E+001	-2.2290333E-001	-8.243645605517125E-002	1.8375360E-005	-2.2307858E-001	0
2.7899602E+003	1.021319993720681E+001	-2.2493336E-001	-8.062242520466234E-002	1.8134673E-005	-2.2507860E-001	0
2.8712288E+003	1.041319993215438E+001	-2.2690886E-001	-7.902848635971227E-002	1.7932263E-005	-2.2707857E-001	0
2.9521670E+003	1.061319992710196E+001	-2.2891067E-001	-7.753988137244838E-002	1.7749706E-005	-2.2907858E-001	0
3.0317922E+003	1.081319992204953E+001	-2.3090185E-001	-7.616018358873544E-002	1.7585528E-005	-2.3107859E-001	0
3.1075842E+003	1.101319991699711E+001	-2.3291108E-001	-7.494924059655095E-002	1.7456508E-005	-2.3307855E-001	0
3.1849465E+003	1.121319991194468E+001	-2.3489700E-001	-7.375226102140020E-002	1.7324184E-005	-2.3507859E-001	0
3.2595032E+003	1.141319990689226E+001	-2.3690772E-001	-7.268215835098668E-002	1.7218965E-005	-2.3707859E-001	0
3.3324119E+003	1.161319990183983E+001	-2.3892373E-001	-7.169693648337877E-002	1.7130100E-005	-2.3907858E-001	0
3.4052305E+003	1.181319989678741E+001	-2.4089244E-001	-7.074188954057514E-002	1.7041186E-005	-2.4107859E-001	0
3.4775156E+003	1.201319989173498E+001	-2.4287365E-001	-6.984113779155499E-002	1.6962573E-005	-2.4307859E-001	0
3.5505620E+003	1.221319988668256E+001	-2.4487546E-001	-6.896808254954889E-002	1.6888591E-005	-2.4507859E-001	0
3.6212627E+003	1.241319988163013E+001	-2.4690443E-001	-6.818185968202073E-002	1.6834403E-005	-2.4707857E-001	0
3.6889648E+003	1.261319987657771E+001	-2.4887165E-001	-6.746382014234587E-002	1.6789832E-005	-2.4907860E-001	0
3.7598630E+003	1.281319987152528E+001	-2.5086308E-001	-6.672133350651910E-002	1.6737918E-005	-2.5107858E-001	0
3.8296760E+003	1.301319986647286E+001	-2.5287420E-001	-6.603017943814082E-002	1.6697328E-005	-2.5307858E-001	0
3.9002285E+003	1.321319986142043E+001	-2.5488278E-001	-6.535073165579020E-002	1.6656777E-005	-2.5507858E-001	0
3.9660149E+003	1.341319985636801E+001	-2.5686634E-001	-6.476686006547072E-002	1.6636426E-005	-2.5707856E-001	0
4.0376738E+003	1.361319985131559E+001	-2.5891951E-001	-6.412591016904161E-002	1.6603450E-005	-2.5907856E-001	0
4.1040303E+003	1.381319984626316E+001	-2.6091877E-001	-6.357623010508462E-002	1.6588232E-005	-2.6107860E-001	0
4.1711826E+003	1.401319984121074E+001	-2.6287708E-001	-6.302219587842800E-002	1.6567090E-005	-2.6307857E-001	0
4.2417378E+003	1.421319983615831E+001	-2.6489267E-001	-6.244909011150675E-002	1.6542306E-005	-2.6507857E-001	0
4.3060396E+003	1.441319983110589E+001	-2.6687029E-001	-6.197581122219653E-002	1.6539503E-005	-2.6707858E-001	0
4.3721064E+003	1.461319982605346E+001	-2.6885960E-001	-6.149429263538631E-002	1.6533331E-005	-2.6907858E-001	0
4.4382144E+003	1.481319982100104E+001	-2.7086309E-001	-6.102974103159720E-002	1.6530705E-005	-2.7107859E-001	0
4.5044248E+003	1.501319981594861E+001	-2.7289012E-001	-6.058267948361290E-002	1.6532415E-005	-2.7307859E-001	0
4.5723535E+003	1.521319981089619E+001	-2.7489281E-001	-6.012063659569167E-002	1.6526730E-005	-2.7507856E-001	0
4.6393555E+003	1.541319980584376E+001	-2.7686003E-001	-5.967639699153787E-002	1.6522008E-005	-2.7707860E-001	0
4.7062168E+003	1.561319980079134E+001	-2.7887055E-001	-5.925578355911665E-002	1.6524693E-005	-2.7907857E-001	0
4.7722876E+003	1.581319979573891E+001	-2.8089634E-001	-5.885989409596881E-002	1.6533528E-005	-2.8107858E-001	0
4.8431299E+003	1.601319979068649E+001	-2.8286988E-001	-5.840642062700080E-002	1.6521417E-005	-2.8307858E-001	0
4.9069224E+003	1.621319978563406E+001	-2.8488508E-001	-5.805779473545669E-002	1.6539800E-005	-2.8507859E-001	0
4.9761548E+003	1.641319978058164E+001	-2.8687480E-001	-5.764989344331339E-002	1.6538303E-005	-2.8707859E-001	0
5.0432207E+003	1.661319977552921E+001	-2.8887784E-001	-5.728042627739693E-002	1.6547046E-005	-2.8907859E-001	0
5.1064600E+003	1.681319977047679E+001	-2.9090664E-001	-5.696835504135200E-002	1.6572472E-005	-2.9107860E-001	0
5.1722666E+003	1.701319976542436E+001	-2.9286024E-001	-5.662125944478813E-002	1.6582115E-005	-2.9307857E-001	0
5.2438174E+003	1.721319976037194E+001	-2.9491448E-001	-5.624042099126347E-002	1.6586115E-005	-2.9507858E-001	0
5.3073604E+003	1.741319975531951E+001	-2.9689100E-001	-5.593948242943048E-002	1.6607930E-005	-2.9707861E-001	0
5.3723267E+003	1.761319975026709E+001	-2.9889494E-001	-5.563603098031211E-002	1.6629328E-005	-2.9907855E-001	0
5.4436958E+003	1.781319974521466E+001	-3.0089125E-001	-5.527333781923560E-002	1.6631264E-005	-3.0107859E-001	0
5.5081548E+003	1.801319974016224E+001	-3.0286568E-001	-5.498496202916714E-002	1.6653059E-005	-3.0307859E-001	0
5.5766909E+003	1.821319973510981E+001	-3.0489171E-001	-5.467251194809919E-002	1.6669195E-005	-3.0507857E-001	0
5.6431074E+003	1.841319973005739E+001	-3.0687737E-001	-5.438092178897391E-002	1.6688275E-005	-3.0707860E-001	0
5.7090488E+003	1.861319972500496E+001	-3.0890587E-001	-5.410811400184601E-002	1.6714313E-005	-3.0907857E-001	0
5.7779287E+003	1.881319971995254E+001	-3.1085634E-001	-5.380065347144024E-002	1.6724274E-005	-3.1107861E-001	0
5.8435654E+003	1.901319971490011E+001	-3.1286117E-001	-5.353943206150263E-002	1.6750409E-005	-3.1307861E-001	0
5.9113921E+003	1.921319970984769E+001	-3.1482050E-001	-5.325657385982174E-002	1.6766262E-005	-3.1507862E-001	0
5.9752954E+003	1.941319970479526E+001	-3.1687748E-001	-5.303126611206216E-002	1.6804413E-005	-3.1707856E-001	0
6.0453228E+003	1.961319969974284E+001	-3.1883746E-001	-5.274118142267981E-002	1.6815864E-005	-3.1907859E-001	0
6.1105830E+003	1.981319969469041E+001	-3.2088959E-001	-5.251374537528580E-002	1.6851114E-005	-3.2107857E-001	0
6.1797715E+003	2.001319968963799E+001	-3.2291216E-001	-5.225309142272661E-002	1.6873159E-005	-3.2307857E-001	0
6.2448970E+003	2.021319968458556E+001	-3.2486773E-001	-5.202131024076107E-002	1.6900045E-005	-3.2507858E-001	0
6.3144595E+003	2.041319967953314E+001	-3.2687464E-001	-5.176605171336024E-002	1.6921009E-005	-3.2707858E-001	0
6.3795630E+003	2.061319967448071E+001	-3.2886901E-001	-5.155039716421161E-002	1.6953329E-005	-3.2907858E-001	0
6.4478530E+003	2.081319966942829E+001	-3.3086824E-001	-5.131448245377135E-002	1.6978332E-005	-3.3107859E-001	0
6.5161606E+003	2.101319966437586E+001	-3.3286837E-001	-5.108351114125742E-002	1.7004086E-005	-3.3307862E-001	0
6.5795464E+003	2.121319965932344E+001	-3.3491322E-001	-5.090217495256888E-002	1.7047811E-005	-3.3507857E-001	0
6.6495142E+003	2.141319965427101E+001	-3.3689958E-001	-5.066529195438929E-002	1.7069115E-005	-3.3707860E-001	0
6.7170186E+003	2.161319964921859E+001	-3.3888587E-001	-5.045182788491154E-002	1.7097413E-005	-3.3907858E-001	0
6.7830850E+003	2.181319964416616E+001	-3.4089491E-001	-5.025661806100795E-002	1.7132224E-005	-3.4107858E-001	0
6.8557031E+003	2.201319963911374E+001	-3.4286258E-001	-5.001129185920269E-002	1.7147000E-005	-3.4307858E-001	0
6.9217837E+003	2.221319963406131E+001	-3.4488747E-001	-4.982638612702117E-002	1.7184497E-005	-3.4507859E-001	0
6.9910166E+003	2.241319962900889E+001	-3.4689718E-001	-4.962042067094363E-002	1.7213184E-005	-3.4707859E-001	0
