EC-Lab ASCII FILE
Nb header lines : 63                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -5.00 V, max = 5.00 V
Ewe,I filtering : <None>
Safety Limits :
	Do not start on E overload
Channel : Floating
Acquisition started on : 03/03/2026 16:10:33.423
Technique started on : 03/03/2026 16:10:36.106
Loaded Setting File :  NONE
Saved on :
	File : X18_75_N52magA_up_3-3_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 127.0.0.1
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : Ni40
Initial state : 
Electrolyte : KOH (1 M)
Comments : with magnet side A (+), N52 Nd magnet, alloy placed straight up
Cable : standard
Reference electrode : Hg/HgO (0.140 V)
Electrode surface area : 1.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              -0.200              
vs.                 Ref                 
EL (V)              -2.500              
vs.                 Ref                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -5.000              
E range max (V)     5.000               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

Rwe/Ohm	time/s	Ewe/V	<I>/mA	Pwe/W	control/V	error	
0.0000000E+000	2.683400127425557E+000	-1.4475815E-001	0.000000000000000E+000	0.0000000E+000	0.0000000E+000	0
0.0000000E+000	7.683200001119985E+000	-3.8093351E-002	0.000000000000000E+000	0.0000000E+000	-1.9998720E-001	0
8.3823232E+003	7.883199996067560E+000	-2.0169161E-001	-2.406154146068734E-002	4.8530110E-006	-2.0188698E-001	0
1.4587870E+003	8.003199993036105E+000	-2.0287922E-001	-1.390739197586186E-001	2.8215209E-005	-2.0308705E-001	0
1.5434652E+003	8.213199987731059E+000	-2.0496942E-001	-1.327982123660310E-001	2.7219572E-005	-2.0518704E-001	0
1.6851987E+003	8.413199982678634E+000	-2.0701653E-001	-1.228439824723234E-001	2.5430734E-005	-2.0718698E-001	0
1.8173126E+003	8.613199977626209E+000	-2.0897622E-001	-1.149918979515334E-001	2.4030573E-005	-2.0918691E-001	0
1.9398763E+003	8.813199972573784E+000	-2.1097580E-001	-1.087573423365003E-001	2.2945167E-005	-2.1118686E-001	0
2.0524526E+003	9.013199967521359E+000	-2.1300460E-001	-1.037805235845433E-001	2.2105729E-005	-2.1318677E-001	0
2.1580471E+003	9.213199962468934E+000	-2.1498549E-001	-9.962038361613157E-002	2.1416938E-005	-2.1518672E-001	0
2.2569592E+003	9.413199957416509E+000	-2.1696810E-001	-9.613293380520879E-002	2.0857780E-005	-2.1718663E-001	0
2.3504431E+003	9.613199952364084E+000	-2.1898971E-001	-9.316954254162191E-002	2.0403171E-005	-2.1918656E-001	0
2.4409348E+003	9.813199947311659E+000	-2.2101009E-001	-9.054321814655779E-002	2.0010964E-005	-2.2118650E-001	0
2.5275884E+003	1.001319994225923E+001	-2.2300795E-001	-8.822953359059182E-002	1.9675887E-005	-2.2318642E-001	0
2.6109434E+003	1.021319993720681E+001	-2.2499689E-001	-8.617456275082760E-002	1.9389008E-005	-2.2518636E-001	0
2.6918503E+003	1.041319993215438E+001	-2.2699180E-001	-8.432556896326915E-002	1.9141213E-005	-2.2718629E-001	0
2.7701765E+003	1.061319992710196E+001	-2.2896525E-001	-8.265367101681476E-002	1.8924819E-005	-2.2918621E-001	0
2.8487637E+003	1.081319992204953E+001	-2.3096865E-001	-8.107680325447086E-002	1.8726199E-005	-2.3118615E-001	0
2.9232673E+003	1.101319991699711E+001	-2.3302698E-001	-7.971456517568887E-002	1.8575645E-005	-2.3318608E-001	0
2.9958420E+003	1.121319991194468E+001	-2.3497924E-001	-7.843512186755219E-002	1.8430626E-005	-2.3518603E-001	0
3.0692454E+003	1.141319990689226E+001	-2.3701361E-001	-7.722211094644971E-002	1.8302691E-005	-2.3718596E-001	0
3.1428066E+003	1.161319990183983E+001	-2.3901314E-001	-7.605085382818777E-002	1.8177154E-005	-2.3918588E-001	0
3.2122637E+003	1.181319989678741E+001	-2.4101442E-001	-7.502946497338203E-002	1.8083183E-005	-2.4118583E-001	0
3.2826335E+003	1.201319989173498E+001	-2.4298681E-001	-7.402191059178143E-002	1.7986347E-005	-2.4318574E-001	0
3.3536411E+003	1.221319988668256E+001	-2.4501480E-001	-7.305933705577516E-002	1.7900618E-005	-2.4518569E-001	0
3.4223992E+003	1.241319988163013E+001	-2.4700782E-001	-7.217387819098839E-002	1.7827511E-005	-2.4718562E-001	0
3.4897290E+003	1.261319987657771E+001	-2.4897237E-001	-7.134432918993983E-002	1.7762766E-005	-2.4918556E-001	0
3.5588477E+003	1.281319987152528E+001	-2.5101689E-001	-7.053319235435784E-002	1.7705022E-005	-2.5118548E-001	0
3.6243870E+003	1.301319986647286E+001	-2.5300607E-001	-6.980658557251207E-002	1.7661490E-005	-2.5318542E-001	0
3.6921501E+003	1.321319986142043E+001	-2.5498846E-001	-6.906232393828238E-002	1.7610097E-005	-2.5518537E-001	0
3.7602573E+003	1.341319985636801E+001	-2.5702855E-001	-6.835398012339239E-002	1.7568924E-005	-2.5718525E-001	0
3.8238279E+003	1.361309985131811E+001	-2.5896120E-001	-6.772302841198484E-002	1.7537637E-005	-2.5918585E-001	0
3.8899666E+003	1.381299984626821E+001	-2.6098415E-001	-6.709162018297765E-002	1.7509850E-005	-2.6118511E-001	0
