EC-Lab ASCII FILE
Nb header lines : 63                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -5.00 V, max = 5.00 V
Ewe,I filtering : <None>
Safety Limits :
	Do not start on E overload
Channel : Floating
Acquisition started on : 03/03/2026 16:40:59.806
Technique started on : 03/03/2026 16:41:02.643
Loaded Setting File :  NONE
Saved on :
	File : X18_75_N52magB_flat_3-3_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 127.0.0.1
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : Ni40
Initial state : 
Electrolyte : KOH (1 M)
Comments : with magnet side B (-), N52 Nd magnet, alloy placed lying flat on magnet
Cable : standard
Reference electrode : Hg/HgO (0.140 V)
Electrode surface area : 1.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              -0.200              
vs.                 Ref                 
EL (V)              -2.500              
vs.                 Ref                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -5.000              
E range max (V)     5.000               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

Rwe/Ohm	time/s	Ewe/V	<I>/mA	Pwe/W	control/V	error	
0.0000000E+000	2.837400134740165E+000	-1.6583820E-001	0.000000000000000E+000	0.0000000E+000	0.0000000E+000	0
0.0000000E+000	7.837200008434593E+000	-7.6156937E-002	0.000000000000000E+000	0.0000000E+000	-1.9987875E-001	0
2.5407781E+003	8.037200003382168E+000	-2.0154323E-001	7.932342579588295E-002	-1.5987100E-005	-2.0177853E-001	0
2.9213069E+003	8.157200000350713E+000	-2.0277520E-001	-6.941249228548274E-002	1.4075132E-005	-2.0297860E-001	0
2.5029319E+003	8.367199995045667E+000	-2.0486395E-001	-8.184958829189670E-002	1.6768030E-005	-2.0507857E-001	0
2.5833638E+003	8.567199989993242E+000	-2.0688103E-001	-8.008203701466718E-002	1.6567454E-005	-2.0707859E-001	0
2.6947373E+003	8.767199984940817E+000	-2.0890832E-001	-7.752455983103990E-002	1.6195525E-005	-2.0907858E-001	0
2.8052644E+003	8.967199979888392E+000	-2.1090226E-001	-7.518088167729664E-002	1.5855818E-005	-2.1107858E-001	0
2.9121912E+003	9.167199974835967E+000	-2.1286735E-001	-7.309525282029272E-002	1.5559594E-005	-2.1307859E-001	0
3.0140405E+003	9.367199969783542E+000	-2.1487996E-001	-7.129298771790693E-002	1.5319434E-005	-2.1507856E-001	0
3.1102695E+003	9.567199964731117E+000	-2.1688943E-001	-6.973332063983395E-002	1.5124420E-005	-2.1707858E-001	0
3.1999485E+003	9.767199959678692E+000	-2.1886939E-001	-6.839778481469483E-002	1.4970181E-005	-2.1907859E-001	0
3.2884624E+003	9.967199954626267E+000	-2.2090025E-001	-6.717432839183490E-002	1.4838826E-005	-2.2107857E-001	0
3.3698132E+003	1.016719994957384E+001	-2.2286747E-001	-6.613644706919519E-002	1.4739663E-005	-2.2307858E-001	0
3.4514124E+003	1.036719994452142E+001	-2.2487502E-001	-6.515449032297260E-002	1.4651617E-005	-2.2507860E-001	0
3.5298894E+003	1.056719993946899E+001	-2.2687003E-001	-6.427114213396545E-002	1.4581196E-005	-2.2707857E-001	0
3.6041853E+003	1.076719993441657E+001	-2.2887501E-001	-6.350256682293354E-002	1.4534151E-005	-2.2907858E-001	0
3.6812891E+003	1.096719992936414E+001	-2.3089591E-001	-6.272148351658076E-002	1.4482134E-005	-2.3107859E-001	0
3.7516079E+003	1.116719992431172E+001	-2.3289073E-001	-6.207757412779069E-002	1.4457291E-005	-2.3307855E-001	0
3.8232476E+003	1.136719991925929E+001	-2.3492308E-001	-6.144594932724701E-002	1.4435072E-005	-2.3507859E-001	0
3.8932185E+003	1.156719991420687E+001	-2.3690154E-001	-6.084979112447986E-002	1.4415409E-005	-2.3707859E-001	0
3.9594810E+003	1.176719990915444E+001	-2.3888808E-001	-6.033318115096276E-002	1.4412878E-005	-2.3907858E-001	0
4.0282793E+003	1.196719990410202E+001	-2.4088541E-001	-5.979858615484246E-002	1.4404607E-005	-2.4107859E-001	0
4.0964531E+003	1.216719989904959E+001	-2.4290527E-001	-5.929648478266239E-002	1.4403429E-005	-2.4307859E-001	0
4.1609185E+003	1.236719989399717E+001	-2.4490581E-001	-5.885859446910557E-002	1.4414812E-005	-2.4507859E-001	0
4.2249653E+003	1.256719988894474E+001	-2.4688977E-001	-5.843592668110598E-002	1.4427233E-005	-2.4707857E-001	0
4.2908418E+003	1.276719988389232E+001	-2.4889585E-001	-5.800629835871479E-002	1.4437527E-005	-2.4907860E-001	0
4.3567480E+003	1.296719987883989E+001	-2.5086793E-001	-5.758146705241052E-002	1.4445343E-005	-2.5107858E-001	0
4.4170586E+003	1.316719987378747E+001	-2.5290751E-001	-5.725699815795671E-002	1.4480725E-005	-2.5307858E-001	0
4.4821465E+003	1.336719986873504E+001	-2.5486603E-001	-5.686249490563333E-002	1.4492319E-005	-2.5507858E-001	0
4.5453906E+003	1.356719986368262E+001	-2.5689945E-001	-5.651867106744840E-002	1.4519615E-005	-2.5707856E-001	0
4.6063115E+003	1.376719985863019E+001	-2.5887027E-001	-5.619903564212336E-002	1.4548260E-005	-2.5907856E-001	0
4.6685566E+003	1.396719985357777E+001	-2.6087061E-001	-5.587821258094716E-002	1.4576983E-005	-2.6107860E-001	0
4.7330732E+003	1.416719984852534E+001	-2.6286137E-001	-5.553714391065845E-002	1.4598570E-005	-2.6307857E-001	0
4.7899761E+003	1.436719984347292E+001	-2.6488483E-001	-5.529982159062041E-002	1.4648083E-005	-2.6507857E-001	0
4.8524473E+003	1.456719983842049E+001	-2.6687667E-001	-5.499836795724707E-002	1.4677781E-005	-2.6707858E-001	0
4.9136499E+003	1.476719983336807E+001	-2.6889417E-001	-5.472391647183206E-002	1.4714942E-005	-2.6907858E-001	0
4.9728872E+003	1.496719982831564E+001	-2.7088770E-001	-5.447292254758296E-002	1.4756045E-005	-2.7107859E-001	0
5.0328887E+003	1.516719982326322E+001	-2.7288613E-001	-5.422057951441520E-002	1.4796044E-005	-2.7307859E-001	0
5.0983252E+003	1.536719981821079E+001	-2.7489236E-001	-5.391816961021523E-002	1.4821693E-005	-2.7507856E-001	0
5.1572300E+003	1.556719981315837E+001	-2.7688527E-001	-5.368875855867183E-002	1.4865626E-005	-2.7707860E-001	0
5.2163330E+003	1.576719980810594E+001	-2.7889559E-001	-5.346583295930329E-002	1.4911385E-005	-2.7907857E-001	0
5.2748921E+003	1.596719980305352E+001	-2.8088424E-001	-5.324928538584450E-002	1.4956885E-005	-2.8107858E-001	0
5.3362236E+003	1.616719979800109E+001	-2.8287157E-001	-5.300969487191309E-002	1.4994936E-005	-2.8307858E-001	0
5.3948521E+003	1.636719979294867E+001	-2.8487360E-001	-5.280471306458934E-002	1.5042669E-005	-2.8507859E-001	0
5.4524893E+003	1.656719978789624E+001	-2.8689152E-001	-5.261661263622008E-002	1.5095260E-005	-2.8707859E-001	0
5.5149346E+003	1.676719978284382E+001	-2.8886449E-001	-5.237858868130130E-002	1.5130315E-005	-2.8907859E-001	0
5.5735400E+003	1.696719977779139E+001	-2.9088709E-001	-5.219072369486932E-002	1.5181608E-005	-2.9107860E-001	0
5.6309932E+003	1.716719977273897E+001	-2.9285392E-001	-5.200750623141182E-002	1.5230602E-005	-2.9307857E-001	0
5.6924922E+003	1.736719976768654E+001	-2.9488435E-001	-5.180232846357624E-002	1.5275697E-005	-2.9507858E-001	0
5.7526040E+003	1.756719976263412E+001	-2.9690379E-001	-5.161206817091825E-002	1.5323818E-005	-2.9707861E-001	0
5.8099653E+003	1.776719975758169E+001	-2.9888052E-001	-5.144273565000856E-002	1.5375232E-005	-2.9907855E-001	0
5.8728955E+003	1.796719975252927E+001	-3.0090523E-001	-5.123626587483765E-002	1.5417259E-005	-3.0107859E-001	0
5.9310010E+003	1.816719974747684E+001	-3.0287924E-001	-5.106713870527613E-002	1.5467176E-005	-3.0307859E-001	0
5.9915615E+003	1.836719974242442E+001	-3.0488193E-001	-5.088522119390593E-002	1.5513984E-005	-3.0507857E-001	0
6.0492983E+003	1.856719973737199E+001	-3.0688965E-001	-5.073144759976500E-002	1.5568956E-005	-3.0707860E-001	0
6.1063374E+003	1.876719973231957E+001	-3.0889696E-001	-5.058628984604469E-002	1.5625950E-005	-3.0907857E-001	0
6.1681777E+003	1.896719972726714E+001	-3.1091028E-001	-5.040553421977401E-002	1.5671600E-005	-3.1107861E-001	0
6.2261538E+003	1.916719972221472E+001	-3.1290442E-001	-5.025645504365628E-002	1.5725467E-005	-3.1307861E-001	0
6.2847944E+003	1.936719971716229E+001	-3.1488672E-001	-5.010294709132901E-002	1.5776752E-005	-3.1507862E-001	0
6.3441724E+003	1.956719971210987E+001	-3.1687468E-001	-4.994736394428922E-002	1.5827056E-005	-3.1707856E-001	0
6.3937827E+003	1.976719970705744E+001	-3.1886697E-001	-4.987141297171394E-002	1.5902346E-005	-3.1907859E-001	0
6.4559429E+003	1.996719970200502E+001	-3.2084164E-001	-4.969709956978363E-002	1.5944899E-005	-3.2107857E-001	0
6.5159438E+003	2.016719969695259E+001	-3.2288563E-001	-4.955316217333250E-002	1.6000004E-005	-3.2307857E-001	0
6.5814673E+003	2.036719969190017E+001	-3.2487646E-001	-4.936231480427766E-002	1.6036654E-005	-3.2507858E-001	0
6.6423071E+003	2.056719968684774E+001	-3.2690731E-001	-4.921592925115559E-002	1.6089047E-005	-3.2707858E-001	0
6.7005962E+003	2.076719968179532E+001	-3.2888344E-001	-4.908271267104170E-002	1.6142490E-005	-3.2907858E-001	0
6.7565073E+003	2.096719967674289E+001	-3.3087292E-001	-4.897099966764051E-002	1.6203177E-005	-3.3107859E-001	0
6.8184307E+003	2.116719967169047E+001	-3.3288577E-001	-4.882146373930729E-002	1.6251970E-005	-3.3307862E-001	0
6.8798057E+003	2.136719966663804E+001	-3.3492255E-001	-4.868197766931986E-002	1.6304692E-005	-3.3507857E-001	0
6.9397983E+003	2.156719966158562E+001	-3.3690929E-001	-4.854741770733995E-002	1.6356076E-005	-3.3707860E-001	0
7.0002100E+003	2.176719965653319E+001	-3.3891559E-001	-4.841506015852537E-002	1.6408618E-005	-3.3907858E-001	0
7.0607690E+003	2.196719965148077E+001	-3.4090760E-001	-4.828193608978693E-002	1.6459679E-005	-3.4107858E-001	0
7.1210620E+003	2.216719964642834E+001	-3.4288189E-001	-4.815038801735816E-002	1.6509895E-005	-3.4307858E-001	0
7.1810630E+003	2.236719964137592E+001	-3.4488916E-001	-4.802759286425906E-002	1.6564196E-005	-3.4507859E-001	0
7.2394492E+003	2.256719963632349E+001	-3.4688738E-001	-4.791626681799657E-002	1.6621549E-005	-3.4707859E-001	0
7.2974658E+003	2.276719963127107E+001	-3.4891382E-001	-4.781301099333968E-002	1.6682619E-005	-3.4907860E-001	0
7.3390757E+003	2.296719962621864E+001	-3.5089141E-001	-4.781138892296079E-002	1.6776607E-005	-3.5107860E-001	0
7.3804575E+003	2.316719962116622E+001	-3.5289645E-001	-4.781498209480384E-002	1.6873737E-005	-3.5307860E-001	0
7.4373716E+003	2.336719961611379E+001	-3.5489121E-001	-4.771729067042951E-002	1.6934448E-005	-3.5507861E-001	0
7.4963174E+003	2.356719961106137E+001	-3.5691699E-001	-4.761231143941957E-002	1.6993643E-005	-3.5707858E-001	0
7.5540708E+003	2.376719960600894E+001	-3.5891521E-001	-4.751281936752205E-002	1.7053073E-005	-3.5907856E-001	0
7.6104336E+003	2.396719960095652E+001	-3.6090198E-001	-4.742199872845315E-002	1.7114693E-005	-3.6107859E-001	0
7.6687651E+003	2.416719959590409E+001	-3.6288914E-001	-4.732041456446250E-002	1.7172064E-005	-3.6307859E-001	0
7.7308335E+003	2.436719959085167E+001	-3.6486271E-001	-4.719578061261268E-002	1.7219980E-005	-3.6507860E-001	0
7.7920957E+003	2.456719958579924E+001	-3.6689675E-001	-4.708576044769930E-002	1.7275612E-005	-3.6707860E-001	0
7.8496499E+003	2.476719958074682E+001	-3.6887053E-001	-4.699197051863993E-002	1.7333952E-005	-3.6907861E-001	0
7.9054346E+003	2.496719957569439E+001	-3.7086046E-001	-4.691208989698403E-002	1.7397839E-005	-3.7107861E-001	0
