EC-Lab ASCII FILE
Nb header lines : 63                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -5.00 V, max = 5.00 V
Ewe,I filtering : <None>
Safety Limits :
	Do not start on E overload
Channel : Floating
Acquisition started on : 03/03/2026 16:20:08.160
Technique started on : 03/03/2026 16:20:10.842
Loaded Setting File :  NONE
Saved on :
	File : X18_75_N52magB_up_3-3_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 127.0.0.1
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : Ni40
Initial state : 
Electrolyte : KOH (1 M)
Comments : with magnet side B (-), N52 Nd magnet, alloy placed straight up
Cable : standard
Reference electrode : Hg/HgO (0.140 V)
Electrode surface area : 1.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              -0.200              
vs.                 Ref                 
EL (V)              -2.500              
vs.                 Ref                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -5.000              
E range max (V)     5.000               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

Rwe/Ohm	time/s	Ewe/V	<I>/mA	Pwe/W	control/V	error	
0.0000000E+000	2.682400127378060E+000	-1.5422086E-001	0.000000000000000E+000	0.0000000E+000	0.0000000E+000	0
0.0000000E+000	7.682200001072488E+000	-4.3911841E-002	0.000000000000000E+000	0.0000000E+000	-1.9987875E-001	0
9.6799268E+003	7.882199996020063E+000	-2.0151952E-001	-2.081828911032063E-002	4.1952917E-006	-2.0177853E-001	0
1.5039083E+003	8.002199992988608E+000	-2.0271680E-001	-1.347933159314332E-001	2.7324870E-005	-2.0297860E-001	0
1.5977158E+003	8.212199987683562E+000	-2.0484047E-001	-1.282083215741034E-001	2.6262253E-005	-2.0507856E-001	0
1.7463591E+003	8.412199982631137E+000	-2.0687398E-001	-1.184601585460983E-001	2.4506326E-005	-2.0707843E-001	0
1.8849346E+003	8.612199977578712E+000	-2.0890260E-001	-1.108275057997155E-001	2.3152154E-005	-2.0907830E-001	0
2.0109366E+003	8.812199972526287E+000	-2.1087244E-001	-1.048627969620921E-001	2.2112674E-005	-2.1107817E-001	0
2.1278035E+003	9.012199967473862E+000	-2.1288221E-001	-1.000478732201130E-001	2.1298412E-005	-2.1307805E-001	0
2.2356951E+003	9.212199962421437E+000	-2.1485165E-001	-9.610060153923916E-002	2.0647372E-005	-2.1507795E-001	0
2.3382261E+003	9.412199957369012E+000	-2.1685675E-001	-9.274413679301974E-002	2.0112191E-005	-2.1707779E-001	0
2.4336482E+003	9.612199952316587E+000	-2.1885119E-001	-8.992720822921885E-002	1.9680678E-005	-2.1907769E-001	0
2.5263589E+003	9.812199947264162E+000	-2.2087368E-001	-8.742767147341879E-002	1.9310472E-005	-2.2107758E-001	0
