EC-Lab ASCII FILE
Nb header lines : 63                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -5.00 V, max = 5.00 V
Ewe,I filtering : <None>
Safety Limits :
	Do not start on E overload
Channel : Floating
Acquisition started on : 02/12/2026 11:45:12.335
Technique started on : 02/12/2026 11:45:14.862
Loaded Setting File :  C:\Users\volt\Documents\Platalytix\PtPdCoNiCr_2_11_polished_01_ZIR_C01.mpr
Saved on :
	File : X18_75_unpolished_2-12_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 127.0.0.1
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : Pt18.75Pd18.75Ni18.75Co18.75Cr25
Initial state : 
Electrolyte : KOH (1M)
Comments : before polishing
Cable : standard
Reference electrode : Hg/HgO (0.140 V)
Electrode surface area : 1.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              -0.200              
vs.                 Ref                 
EL (V)              -2.500              
vs.                 Ref                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -5.000              
E range max (V)     5.000               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

Rwe/Ohm	time/s	Ewe/V	<I>/mA	Pwe/W	control/V	error	
0.0000000E+000	2.527400120015955E+000	-1.2819938E-001	0.000000000000000E+000	0.0000000E+000	0.0000000E+000	0
0.0000000E+000	7.527199993710383E+000	-1.2798299E-002	0.000000000000000E+000	0.0000000E+000	-1.9999993E-001	0
4.9909541E+003	7.727199988657958E+000	-2.0168610E-001	-4.041033001034522E-002	8.1502021E-006	-2.0189971E-001	0
1.5367922E+003	7.847199985626503E+000	-2.0284835E-001	-1.319946454704870E-001	2.6774895E-005	-2.0309979E-001	0
1.6820551E+003	8.057199980321457E+000	-2.0492518E-001	-1.218302448052082E-001	2.4966084E-005	-2.0519973E-001	0
1.8915359E+003	8.257199975269032E+000	-2.0696102E-001	-1.094142745382023E-001	2.2644490E-005	-2.0719965E-001	0
2.0791758E+003	8.457199970216607E+000	-2.0899709E-001	-1.005192041965175E-001	2.1008220E-005	-2.0919958E-001	0
2.2461125E+003	8.657199965164182E+000	-2.1099472E-001	-9.393773114629711E-002	1.9820365E-005	-2.1119945E-001	0
2.3997285E+003	8.857199960111757E+000	-2.1296565E-001	-8.874572319392549E-002	1.8899791E-005	-2.1319938E-001	0
2.5380735E+003	9.057199955059332E+000	-2.1499343E-001	-8.470733521206286E-002	1.8211520E-005	-2.1519928E-001	0
2.6721973E+003	9.257199950006907E+000	-2.1702208E-001	-8.121483975466015E-002	1.7625413E-005	-2.1719919E-001	0
2.7937395E+003	9.457199944954482E+000	-2.1897897E-001	-7.838202986281231E-002	1.7164017E-005	-2.1919911E-001	0
2.9153047E+003	9.657199939902057E+000	-2.2095923E-001	-7.579284053097302E-002	1.6747128E-005	-2.2119902E-001	0
3.0289802E+003	9.857199934849632E+000	-2.2302414E-001	-7.363011007980697E-002	1.6421292E-005	-2.2319892E-001	0
3.1358745E+003	1.005719992979721E+001	-2.2498786E-001	-7.174644869110258E-002	1.6142079E-005	-2.2519885E-001	0
3.2428545E+003	1.025719992474478E+001	-2.2700948E-001	-7.000297839202152E-002	1.5891339E-005	-2.2719876E-001	0
3.3468242E+003	1.045719991969236E+001	-2.2900502E-001	-6.842457681900616E-002	1.5669571E-005	-2.2919866E-001	0
3.4456877E+003	1.065719991463993E+001	-2.3097743E-001	-6.703376828675961E-002	1.5483287E-005	-2.3119859E-001	0
3.5436541E+003	1.085719990958751E+001	-2.3298167E-001	-6.574616535532976E-002	1.5317652E-005	-2.3319849E-001	0
3.6395874E+003	1.105719990453508E+001	-2.3499015E-001	-6.456505395250300E-002	1.5172152E-005	-2.3519841E-001	0
3.7351099E+003	1.125719989948266E+001	-2.3702809E-001	-6.345947115637729E-002	1.5041677E-005	-2.3719832E-001	0
3.8273896E+003	1.145719989443023E+001	-2.3898713E-001	-6.244128732308507E-002	1.4922664E-005	-2.3919824E-001	0
3.9189966E+003	1.165719988937781E+001	-2.4097103E-001	-6.148794108195044E-002	1.4816813E-005	-2.4119817E-001	0
4.0090796E+003	1.185719988432538E+001	-2.4298836E-001	-6.060951257593367E-002	1.4727406E-005	-2.4319807E-001	0
4.1012129E+003	1.205709987927548E+001	-2.4496567E-001	-5.973005511264007E-002	1.4631813E-005	-2.4519774E-001	0
4.1895366E+003	1.225699987422558E+001	-2.4694845E-001	-5.894409656543653E-002	1.4556153E-005	-2.4719787E-001	0
4.2793032E+003	1.245699986917316E+001	-2.4900424E-001	-5.818803593581785E-002	1.4489068E-005	-2.4919778E-001	0
4.3706797E+003	1.265699986412073E+001	-2.5104141E-001	-5.743761685816257E-002	1.4419221E-005	-2.5119773E-001	0
4.4530884E+003	1.285699985906831E+001	-2.5300193E-001	-5.681493298610985E-002	1.4374287E-005	-2.5319764E-001	0
4.5384951E+003	1.305699985401588E+001	-2.5501466E-001	-5.618925766423834E-002	1.4329084E-005	-2.5519753E-001	0
4.6323960E+003	1.325699984896346E+001	-2.5700215E-001	-5.547931498125647E-002	1.4258303E-005	-2.5719744E-001	0
4.7143926E+003	1.345699984391104E+001	-2.5897619E-001	-5.493309590733197E-002	1.4226364E-005	-2.5919735E-001	0
4.7982979E+003	1.365699983885861E+001	-2.6101843E-001	-5.439813098502766E-002	1.4198915E-005	-2.6119730E-001	0
4.8826763E+003	1.385699983380619E+001	-2.6301205E-001	-5.386637185505941E-002	1.4167505E-005	-2.6319718E-001	0
4.9671704E+003	1.405699982875376E+001	-2.6494899E-001	-5.334002750845446E-002	1.4132386E-005	-2.6519710E-001	0
5.0527700E+003	1.425699982370134E+001	-2.6696131E-001	-5.283464346283795E-002	1.4104806E-005	-2.6719701E-001	0
5.1378286E+003	1.445699981864891E+001	-2.6895431E-001	-5.234785712970327E-002	1.4079182E-005	-2.6919693E-001	0
5.2228809E+003	1.465699981359649E+001	-2.7096486E-001	-5.188034271848840E-002	1.4057749E-005	-2.7119684E-001	0
5.3030991E+003	1.485699980854406E+001	-2.7296913E-001	-5.147350899233166E-002	1.4050679E-005	-2.7319676E-001	0
5.3826582E+003	1.505699980349164E+001	-2.7497566E-001	-5.108547704970134E-002	1.4047263E-005	-2.7519667E-001	0
5.4691587E+003	1.525699979843921E+001	-2.7696678E-001	-5.064156928095465E-002	1.4026033E-005	-2.7719659E-001	0
5.5553105E+003	1.545699979338679E+001	-2.7898246E-001	-5.021905667273141E-002	1.4010236E-005	-2.7919650E-001	0
5.6418213E+003	1.565699978833436E+001	-2.8098816E-001	-4.980451310034473E-002	1.3994479E-005	-2.8119639E-001	0
5.7162100E+003	1.585699978328194E+001	-2.8294826E-001	-4.949927473833560E-002	1.4005734E-005	-2.8319630E-001	0
5.7987910E+003	1.605699977822951E+001	-2.8501719E-001	-4.915114196150422E-002	1.4008921E-005	-2.8519621E-001	0
5.8810923E+003	1.625699977317709E+001	-2.8698707E-001	-4.879825727543174E-002	1.4004469E-005	-2.8719613E-001	0
5.9642959E+003	1.645699976812466E+001	-2.8899026E-001	-4.845337331946520E-002	1.4002553E-005	-2.8919604E-001	0
6.0476494E+003	1.665679976307729E+001	-2.9097283E-001	-4.811337482152844E-002	1.3999685E-005	-2.9119593E-001	0
6.1276108E+003	1.685679975802486E+001	-2.9298574E-001	-4.781402319790096E-002	1.4008827E-005	-2.9319584E-001	0
6.2120435E+003	1.705679975297244E+001	-2.9494587E-001	-4.747968395119173E-002	1.4003936E-005	-2.9519579E-001	0
6.2939155E+003	1.725679974792001E+001	-2.9697448E-001	-4.718437659250085E-002	1.4012556E-005	-2.9719570E-001	0
6.3732407E+003	1.745679974286759E+001	-2.9895285E-001	-4.690751083466577E-002	1.4023134E-005	-2.9919559E-001	0
6.4540830E+003	1.765679973781516E+001	-3.0102649E-001	-4.664124950714821E-002	1.4040252E-005	-3.0119550E-001	0
6.5347031E+003	1.785679973276274E+001	-3.0300182E-001	-4.636810704576853E-002	1.4049621E-005	-3.0319542E-001	0
6.6192847E+003	1.805679972771031E+001	-3.0498290E-001	-4.607490166602551E-002	1.4052057E-005	-3.0519533E-001	0
6.7038579E+003	1.825679972265789E+001	-3.0699712E-001	-4.579409638519016E-002	1.4058655E-005	-3.0719525E-001	0
6.7815742E+003	1.845679971760546E+001	-3.0898118E-001	-4.556186618035252E-002	1.4077759E-005	-3.0919516E-001	0
6.8574917E+003	1.865679971255304E+001	-3.1098118E-001	-4.534911508370998E-002	1.4102721E-005	-3.1119508E-001	0
6.9414565E+003	1.885679970750061E+001	-3.1294891E-001	-4.508403961651253E-002	1.4109001E-005	-3.1319499E-001	0
7.0190220E+003	1.905679970244819E+001	-3.1495908E-001	-4.487221706616364E-002	1.4132912E-005	-3.1519488E-001	0
7.1368809E+003	1.929679969638528E+001	-3.1733167E-001	-4.446363701987388E-002	1.4109720E-005	-3.1759477E-001	0
7.2106357E+003	1.949679969133285E+001	-3.1937158E-001	-4.429173600028902E-002	1.4145522E-005	-3.1959468E-001	0
7.2936001E+003	1.969679968628043E+001	-3.2137772E-001	-4.406297705669493E-002	1.4160859E-005	-3.2159463E-001	0
7.3707871E+003	1.989679968122800E+001	-3.2333037E-001	-4.386646500598534E-002	1.4183361E-005	-3.2359451E-001	0
7.4547290E+003	2.009679967617558E+001	-3.2545835E-001	-4.365797230763713E-002	1.4208851E-005	-3.2559440E-001	0
7.5264365E+003	2.029679967112315E+001	-3.2736009E-001	-4.349469807412884E-002	1.4238429E-005	-3.2759431E-001	0
7.6150742E+003	2.049679966607073E+001	-3.2944110E-001	-4.326170604716140E-002	1.4252184E-005	-3.2959425E-001	0
7.6893164E+003	2.069679966101830E+001	-3.3138889E-001	-4.309731409193363E-002	1.4281971E-005	-3.3159414E-001	0
7.7711006E+003	2.089679965596588E+001	-3.3341727E-001	-4.290476818188888E-002	1.4305190E-005	-3.3359405E-001	0
7.8433545E+003	2.109669965091598E+001	-3.3539522E-001	-4.276170610465926E-002	1.4342072E-005	-3.3559397E-001	0
7.9257729E+003	2.129659964586608E+001	-3.3741137E-001	-4.257141527917274E-002	1.4364080E-005	-3.3759385E-001	0
8.0082124E+003	2.149659964081366E+001	-3.3942491E-001	-4.238460307186931E-002	1.4386390E-005	-3.3959380E-001	0
8.0780977E+003	2.169659963576123E+001	-3.4138545E-001	-4.226062500288685E-002	1.4427163E-005	-3.4159371E-001	0
8.1617915E+003	2.189659963070881E+001	-3.4338629E-001	-4.207241548702570E-002	1.4447091E-005	-3.4359363E-001	0
8.2425508E+003	2.209659962565638E+001	-3.4542125E-001	-4.190708246729352E-002	1.4475597E-005	-3.4559354E-001	0
8.3218037E+003	2.229659962060396E+001	-3.4738028E-001	-4.174338638663191E-002	1.4500829E-005	-3.4759346E-001	0
8.4044180E+003	2.249659961555153E+001	-3.4938943E-001	-4.157211597984603E-002	1.4524858E-005	-3.4959337E-001	0
