EC-Lab ASCII FILE
Nb header lines : 61                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -5.00 V, max = 5.00 V
Ewe,I filtering : <None>
Channel : Grounded
Acquisition started on : 03/11/2026 19:05:07.049
Technique started on : 03/11/2026 19:05:09.869
Loaded Setting File :  NONE
Saved on :
	File : X225_N52magA_up_3_11_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 172.28.65.128
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : Pt22.5Pd22.5Ni22.5Co22.5Cr10
Initial state : 
Electrolyte : KOH (1M)
Comments : With magnet side A (+), up position
Cable : standard
Reference electrode : Hg/HgO (0.140 V)
Electrode surface area : 1.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              -0.200              
vs.                 Ref                 
EL (V)              -2.500              
vs.                 Ref                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -5.000              
E range max (V)     5.000               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

<I>/mA	Ewe/V	control/V	Rwe/Ohm	time/s	
0.000000000000000E+000	-1.5414569E-001	0.0000000E+000	0.0000000E+000	2.820400133932708E+000
0.000000000000000E+000	-3.1846900E-002	-1.9999985E-001	0.0000000E+000	7.820200007627136E+000
-5.326226935372702E-002	-2.0168775E-001	-2.0189963E-001	3.7866909E+003	8.020200002574711E+000
-1.524049186499368E-001	-2.0292084E-001	-2.0309968E-001	1.3314586E+003	8.140199999543256E+000
-1.430807216758172E-001	-2.0500249E-001	-2.0519970E-001	1.4327750E+003	8.350199994238210E+000
-1.303150457585573E-001	-2.0703268E-001	-2.0719963E-001	1.5887090E+003	8.550199989185785E+000
-1.208847641644999E-001	-2.0900658E-001	-2.0919953E-001	1.7289738E+003	8.750199984133360E+000
-1.137658475239309E-001	-2.1107468E-001	-2.1119942E-001	1.8553431E+003	8.950199979080935E+000
-1.083050154914024E-001	-2.1299253E-001	-2.1319933E-001	1.9665990E+003	9.150199974028510E+000
-1.037372100682266E-001	-2.1503115E-001	-2.1519922E-001	2.0728450E+003	9.350199968976085E+000
-9.998236240422109E-002	-2.1704704E-001	-2.1719913E-001	2.1708533E+003	9.550199963923660E+000
-9.675086804722621E-002	-2.1905148E-001	-2.1919902E-001	2.2640776E+003	9.750199958871235E+000
-9.403086188376042E-002	-2.2102498E-001	-2.2119890E-001	2.3505579E+003	9.950199953818810E+000
-9.157977054579813E-002	-2.2301792E-001	-2.2319880E-001	2.4352312E+003	1.015019994876639E+001
-8.946552484765080E-002	-2.2505502E-001	-2.2519869E-001	2.5155503E+003	1.035019994371396E+001
-8.748748649731164E-002	-2.2703552E-001	-2.2719859E-001	2.5950627E+003	1.055019993866154E+001
-8.574079141092583E-002	-2.2905672E-001	-2.2919850E-001	2.6715022E+003	1.075019993360911E+001
-8.415385560119892E-002	-2.3102511E-001	-2.3119839E-001	2.7452708E+003	1.095019992855669E+001
-8.270780914705977E-002	-2.3306583E-001	-2.3319830E-001	2.8179421E+003	1.115019992350426E+001
-8.133454423803221E-002	-2.3502314E-001	-2.3519817E-001	2.8895857E+003	1.135019991845184E+001
-8.013236348183561E-002	-2.3700213E-001	-2.3719807E-001	2.9576331E+003	1.155019991339941E+001
-7.894644708649290E-002	-2.3903035E-001	-2.3919795E-001	3.0277532E+003	1.175019990834699E+001
-7.779049129317211E-002	-2.4105011E-001	-2.4119830E-001	3.0987092E+003	1.195009990329709E+001
-7.675678244382209E-002	-2.4304816E-001	-2.4319775E-001	3.1664714E+003	1.214999989824719E+001
-7.586548314165797E-002	-2.4501017E-001	-2.4519765E-001	3.2295342E+003	1.234999989319476E+001
-7.496633285565746E-002	-2.4705110E-001	-2.4719758E-001	3.2954941E+003	1.254999988814234E+001
