EC-Lab ASCII FILE
Nb header lines : 61                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -5.00 V, max = 5.00 V
Ewe,I filtering : <None>
Channel : Grounded
Acquisition started on : 03/11/2026 18:13:32.747
Technique started on : 03/11/2026 18:13:35.587
Loaded Setting File :  NONE
Saved on :
	File : X22_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 172.28.65.128
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : Pt22.5Pd22.5Ni22.5Co22.5Cr10
Initial state : 
Electrolyte : KOH (1M)
Comments : With magnet side B (-), flat position
Cable : standard
Reference electrode : Hg/HgO (0.140 V)
Electrode surface area : 1.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              -0.200              
vs.                 Ref                 
EL (V)              -2.500              
vs.                 Ref                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -5.000              
E range max (V)     5.000               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

<I>/mA	Ewe/V	control/V	Rwe/Ohm	time/s	
0.000000000000000E+000	-1.4822762E-001	0.0000000E+000	0.0000000E+000	2.840400134882657E+000
0.000000000000000E+000	-3.5459660E-002	-1.9991295E-001	0.0000000E+000	7.840200008577085E+000
-3.213721062202246E-002	-2.0172186E-001	-2.0181273E-001	6.2768940E+003	8.040200003524660E+000
-1.439676879553544E-001	-2.0286092E-001	-2.0301279E-001	1.4090726E+003	8.160200000493205E+000
-1.392058297810139E-001	-2.0495175E-001	-2.0511279E-001	1.4722928E+003	8.370199995188159E+000
-1.278783399569473E-001	-2.0700850E-001	-2.0711277E-001	1.6187925E+003	8.570199990135734E+000
-1.192874933831614E-001	-2.0897867E-001	-2.0911279E-001	1.7518909E+003	8.770199985083309E+000
-1.126397444038751E-001	-2.1094930E-001	-2.1111278E-001	1.8727786E+003	8.970199980030884E+000
-1.073827429868857E-001	-2.1297932E-001	-2.1311279E-001	1.9833663E+003	9.170199974978459E+000
-1.030769294778269E-001	-2.1495797E-001	-2.1511279E-001	2.0854131E+003	9.370199969926034E+000
-9.947100311386783E-002	-2.1696891E-001	-2.1711276E-001	2.1812278E+003	9.570199964873609E+000
-9.633060424301432E-002	-2.1894948E-001	-2.1911278E-001	2.2728965E+003	9.770199959821184E+000
-9.361838819796953E-002	-2.2097738E-001	-2.2111279E-001	2.3604058E+003	9.970199954768759E+000
-9.129848470330615E-002	-2.2297364E-001	-2.2311279E-001	2.4422490E+003	1.017019994971633E+001
-8.910545515627200E-002	-2.2494937E-001	-2.2511277E-001	2.5245298E+003	1.037019994466391E+001
