EC-Lab ASCII FILE
Nb header lines : 63                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -5.00 V, max = 5.00 V
Ewe,I filtering : <None>
Safety Limits :
	Do not start on E overload
Channel : Floating
Acquisition started on : 02/12/2026 12:38:21.953
Technique started on : 02/12/2026 12:38:24.794
Loaded Setting File :  NONE
Saved on :
	File : double_X22_5_equimolar_2-12_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 127.0.0.1
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : PtPdNiCoCr
Initial state : 
Electrolyte : KOH (1M)
Comments : double between equimolar and  X22.5
Cable : standard
Reference electrode : Hg/HgO (0.140 V)
Electrode surface area : 1.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              -0.200              
vs.                 Ref                 
EL (V)              -2.500              
vs.                 Ref                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -5.000              
E range max (V)     5.000               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

Rwe/Ohm	time/s	Ewe/V	<I>/mA	Pwe/W	control/V	error	
0.0000000E+000	2.841400134930154E+000	-1.3864368E-001	0.000000000000000E+000	0.0000000E+000	0.0000000E+000	0
0.0000000E+000	7.841200008624583E+000	-7.8456365E-003	0.000000000000000E+000	0.0000000E+000	-1.9982530E-001	0
3.2050027E+002	8.041200003572158E+000	-2.0144667E-001	-6.285382330417644E-001	1.2661693E-004	-2.0172508E-001	0
3.5621088E+002	8.151200000793324E+000	-2.0258646E-001	-5.687262214331650E-001	1.1521623E-004	-2.0282513E-001	0
4.3018253E+002	8.351199995740899E+000	-2.0456670E-001	-4.755346668491356E-001	9.7278556E-005	-2.0482503E-001	0
4.8966577E+002	8.561199990435853E+000	-2.0670505E-001	-4.221349639862696E-001	8.7257431E-005	-2.0692493E-001	0
5.3747888E+002	8.771199985130806E+000	-2.0884679E-001	-3.885674297623769E-001	8.1151062E-005	-2.0902479E-001	0
5.7467242E+002	8.971199980078381E+000	-2.1080643E-001	-3.668288444369487E-001	7.7329882E-005	-2.1102470E-001	0
6.0698676E+002	9.171199975025957E+000	-2.1281047E-001	-3.506014919280152E-001	7.4611671E-005	-2.1302460E-001	0
6.3589990E+002	9.371199969973532E+000	-2.1480408E-001	-3.377954364160833E-001	7.2559837E-005	-2.1502450E-001	0
6.6226288E+002	9.571199964921107E+000	-2.1681744E-001	-3.273887906430484E-001	7.0983602E-005	-2.1702439E-001	0
6.8660522E+002	9.771199959868682E+000	-2.1879451E-001	-3.186612978108774E-001	6.9721340E-005	-2.1902429E-001	0
7.0954193E+002	9.971199954816257E+000	-2.2081722E-001	-3.112109622932839E-001	6.8720743E-005	-2.2102416E-001	0
7.3077661E+002	1.017119994976383E+001	-2.2279404E-001	-3.048729652289701E-001	6.7923880E-005	-2.2302406E-001	0
7.5143872E+002	1.037119994471141E+001	-2.2483309E-001	-2.992034790057532E-001	6.7270841E-005	-2.2502397E-001	0
7.7245062E+002	1.057119993965898E+001	-2.2679399E-001	-2.936032121629364E-001	6.6587447E-005	-2.2702493E-001	0
7.9108148E+002	1.077119993460656E+001	-2.2886689E-001	-2.893088736218690E-001	6.6213222E-005	-2.2902511E-001	0
8.0847919E+002	1.097119992955413E+001	-2.3079295E-001	-2.854655441150169E-001	6.5883440E-005	-2.3102514E-001	0
8.2614606E+002	1.117119992450171E+001	-2.3280278E-001	-2.817937390236787E-001	6.5602362E-005	-2.3302512E-001	0
8.4302087E+002	1.137119991944928E+001	-2.3480713E-001	-2.785306364179618E-001	6.5400978E-005	-2.3502515E-001	0
8.6008990E+002	1.157119991439686E+001	-2.3682123E-001	-2.753447387388608E-001	6.5207481E-005	-2.3702513E-001	0
8.7644763E+002	1.177119990934443E+001	-2.3881070E-001	-2.724757168311078E-001	6.5070119E-005	-2.3902513E-001	0
8.9264197E+002	1.197119990429201E+001	-2.4086492E-001	-2.698337446007026E-001	6.4993481E-005	-2.4102512E-001	0
9.0830164E+002	1.217119989923958E+001	-2.4286158E-001	-2.673798862595507E-001	6.4936299E-005	-2.4302512E-001	0
9.2405420E+002	1.237119989418716E+001	-2.4482629E-001	-2.649479706807565E-001	6.4866224E-005	-2.4502516E-001	0
9.3952844E+002	1.257119988913473E+001	-2.4684481E-001	-2.627326588499073E-001	6.4854197E-005	-2.4702512E-001	0
9.5473468E+002	1.277119988408231E+001	-2.4875790E-001	-2.605518685894563E-001	6.4814332E-005	-2.4902514E-001	0
9.7024310E+002	1.297119987902988E+001	-2.5079319E-001	-2.584848983610327E-001	6.4826250E-005	-2.5102511E-001	0
9.8583112E+002	1.317119987397746E+001	-2.5283596E-001	-2.564698527894427E-001	6.4844804E-005	-2.5302511E-001	0
1.0008250E+003	1.337119986892503E+001	-2.5482690E-001	-2.546168616814475E-001	6.4883228E-005	-2.5502515E-001	0
1.0158129E+003	1.357119986387261E+001	-2.5680688E-001	-2.528092202048340E-001	6.4923144E-005	-2.5702512E-001	0
1.0309840E+003	1.377119985882018E+001	-2.5878465E-001	-2.510074383860075E-001	6.4956876E-005	-2.5902513E-001	0
1.0463433E+003	1.397119985376776E+001	-2.6086608E-001	-2.493121455024392E-001	6.5037078E-005	-2.6102513E-001	0
1.0612010E+003	1.417119984871533E+001	-2.6278698E-001	-2.476316708374493E-001	6.5074382E-005	-2.6302513E-001	0
1.0763090E+003	1.437119984366291E+001	-2.6481530E-001	-2.460402166745421E-001	6.5155211E-005	-2.6502514E-001	0
1.0909849E+003	1.457119983861048E+001	-2.6679546E-001	-2.445455126489700E-001	6.5243628E-005	-2.6702514E-001	0
1.1060350E+003	1.477119983355806E+001	-2.6881695E-001	-2.430455995546216E-001	6.5334774E-005	-2.6902515E-001	0
1.1202618E+003	1.497119982850563E+001	-2.7077311E-001	-2.417052038026615E-001	6.5447268E-005	-2.7102512E-001	0
1.1347821E+003	1.517119982345321E+001	-2.7281138E-001	-2.404085928637567E-001	6.5586202E-005	-2.7302516E-001	0
1.1498210E+003	1.537119981840078E+001	-2.7477205E-001	-2.389693912076423E-001	6.5662112E-005	-2.7502513E-001	0
1.1644380E+003	1.557119981334836E+001	-2.7679971E-001	-2.377109925416789E-001	6.5798333E-005	-2.7702513E-001	0
1.1787743E+003	1.577119980829593E+001	-2.7878708E-001	-2.365059026151632E-001	6.5934786E-005	-2.7902514E-001	0
1.1937030E+003	1.597119980324351E+001	-2.8078163E-001	-2.352189888814449E-001	6.6045170E-005	-2.8102514E-001	0
1.2087095E+003	1.617119979819108E+001	-2.8280488E-001	-2.339725922476363E-001	6.6168592E-005	-2.8302512E-001	0
1.2231104E+003	1.637119979313866E+001	-2.8479034E-001	-2.328410805403633E-001	6.6310888E-005	-2.8502512E-001	0
1.2382625E+003	1.657119978808623E+001	-2.8679043E-001	-2.316071515957787E-001	6.6422712E-005	-2.8702515E-001	0
1.2523223E+003	1.677119978303381E+001	-2.8878841E-001	-2.306023155024386E-001	6.6595276E-005	-2.8902513E-001	0
1.2668213E+003	1.697119977798138E+001	-2.9078296E-001	-2.295374796575858E-001	6.6745590E-005	-2.9102516E-001	0
1.2810786E+003	1.717119977292896E+001	-2.9281637E-001	-2.285701834265126E-001	6.6929089E-005	-2.9302514E-001	0
1.2944069E+003	1.737119976787653E+001	-2.9477572E-001	-2.277303540661015E-001	6.7129382E-005	-2.9502511E-001	0
1.3083856E+003	1.757119976282411E+001	-2.9679617E-001	-2.268415180324261E-001	6.7325695E-005	-2.9702511E-001	0
1.3240502E+003	1.777119975777168E+001	-2.9880500E-001	-2.256749748292461E-001	6.7432811E-005	-2.9902512E-001	0
1.3390640E+003	1.797119975271926E+001	-3.0080804E-001	-2.246405316554776E-001	6.7573681E-005	-3.0102512E-001	0
1.3534476E+003	1.817119974766683E+001	-3.0281410E-001	-2.237353597888025E-001	6.7750218E-005	-3.0302513E-001	0
1.3682283E+003	1.837119974261441E+001	-3.0480927E-001	-2.227766125118715E-001	6.7904381E-005	-3.0502513E-001	0
1.3816345E+003	1.857119973756198E+001	-3.0678666E-001	-2.220461724089495E-001	6.8120804E-005	-3.0702513E-001	0
1.3969841E+003	1.877119973250956E+001	-3.0879653E-001	-2.210451268259432E-001	6.8257970E-005	-3.0902514E-001	0
1.4105862E+003	1.897119972745713E+001	-3.1080574E-001	-2.203380040119067E-001	6.8482317E-005	-3.1102514E-001	0
1.4263441E+003	1.917119972240471E+001	-3.1276086E-001	-2.192744772349077E-001	6.8580477E-005	-3.1302515E-001	0
1.4421920E+003	1.937119971735228E+001	-3.1477264E-001	-2.182598600286543E-001	6.8702233E-005	-3.1502515E-001	0
1.4579933E+003	1.957119971229986E+001	-3.1681514E-001	-2.172953377154707E-001	6.8842455E-005	-3.1702513E-001	0
1.4738323E+003	1.977119970724743E+001	-3.1880271E-001	-2.163086831231769E-001	6.8959795E-005	-3.1902513E-001	0
1.4907141E+003	1.997119970219501E+001	-3.2081848E-001	-2.152112789405614E-001	6.9043759E-005	-3.2102513E-001	0
1.5069092E+003	2.017119969714258E+001	-3.2273903E-001	-2.141728430264156E-001	6.9121939E-005	-3.2302514E-001	0
1.5245602E+003	2.037119969209016E+001	-3.2476160E-001	-2.130198701308048E-001	6.9180671E-005	-3.2502514E-001	0
1.5409894E+003	2.057119968703773E+001	-3.2681435E-001	-2.120808612411667E-001	6.9311071E-005	-3.2702515E-001	0
1.5582185E+003	2.077119968198531E+001	-3.2882500E-001	-2.110262454831608E-001	6.9390706E-005	-3.2902515E-001	0
1.5744358E+003	2.097119967693288E+001	-3.3082786E-001	-2.101247012087243E-001	6.9515103E-005	-3.3102512E-001	0
1.5913422E+003	2.117119967188046E+001	-3.3279404E-001	-2.091278963914460E-001	6.9596521E-005	-3.3302516E-001	0
1.6078116E+003	2.137119966682803E+001	-3.3485734E-001	-2.082690160358306E-001	6.9740410E-005	-3.3502510E-001	0
1.6257573E+003	2.157119966177561E+001	-3.3681497E-001	-2.071742017430318E-001	6.9779373E-005	-3.3702514E-001	0
1.6437410E+003	2.177119965672318E+001	-3.3881932E-001	-2.061269590631125E-001	6.9839800E-005	-3.3902514E-001	0
1.6607629E+003	2.197119965167076E+001	-3.4077695E-001	-2.051930059795009E-001	6.9925045E-005	-3.4102514E-001	0
1.6775223E+003	2.217119964661833E+001	-3.4280103E-001	-2.043496130684774E-001	7.0051261E-005	-3.4302515E-001	0
1.6952185E+003	2.237119964156591E+001	-3.4482065E-001	-2.034077955401441E-001	7.0139205E-005	-3.4502515E-001	0
1.7109240E+003	2.257119963651348E+001	-3.4681991E-001	-2.027091358591917E-001	7.0303562E-005	-3.4702513E-001	0
1.7285267E+003	2.277119963146106E+001	-3.4884590E-001	-2.018169000947557E-001	7.0402995E-005	-3.4902513E-001	0
1.7440532E+003	2.297119962640863E+001	-3.5084385E-001	-2.011657880847260E-001	7.0577778E-005	-3.5102516E-001	0
1.7614048E+003	2.317119962135621E+001	-3.5279238E-001	-2.002903504651928E-001	7.0660913E-005	-3.5302514E-001	0
1.7784448E+003	2.337119961630378E+001	-3.5482943E-001	-1.995166935757338E-001	7.0794398E-005	-3.5502511E-001	0
1.7956456E+003	2.357119961125136E+001	-3.5681191E-001	-1.987095422421881E-001	7.0901930E-005	-3.5702515E-001	0
1.8134017E+003	2.377119960619893E+001	-3.5882965E-001	-1.978765271620946E-001	7.1003968E-005	-3.5902512E-001	0
1.8308773E+003	2.397119960114651E+001	-3.6079004E-001	-1.970585532182332E-001	7.1096765E-005	-3.6102515E-001	0
1.8488529E+003	2.417119959609408E+001	-3.6278781E-001	-1.962231920309829E-001	7.1187380E-005	-3.6302513E-001	0
1.8666578E+003	2.437119959104166E+001	-3.6478361E-001	-1.954207147520177E-001	7.1286275E-005	-3.6502513E-001	0
1.8842922E+003	2.457119958598923E+001	-3.6680788E-001	-1.946661272413532E-001	7.1405069E-005	-3.6702517E-001	0
1.9028341E+003	2.477119958093681E+001	-3.6882156E-001	-1.938274859486659E-001	7.1487753E-005	-3.6902514E-001	0
1.9192988E+003	2.497119957588438E+001	-3.7080446E-001	-1.931978813594286E-001	7.1638635E-005	-3.7102517E-001	0
1.9381255E+003	2.517119957083196E+001	-3.7284613E-001	-1.923746019939715E-001	7.1726128E-005	-3.7302515E-001	0
1.9561909E+003	2.537119956577953E+001	-3.7481630E-001	-1.916051757196708E-001	7.1816743E-005	-3.7502518E-001	0
1.9743258E+003	2.557119956072711E+001	-3.7677398E-001	-1.908367837899592E-001	7.1902337E-005	-3.7702513E-001	0
1.9932528E+003	2.577119955567468E+001	-3.7882563E-001	-1.900539784586637E-001	7.1997318E-005	-3.7902513E-001	0
2.0099279E+003	2.597119955062226E+001	-3.8080475E-001	-1.894618994144555E-001	7.2147988E-005	-3.8102517E-001	0
2.0220417E+003	2.617119954556983E+001	-3.8279885E-001	-1.893130313317863E-001	7.2468814E-005	-3.8302514E-001	0
2.0376293E+003	2.637119954051741E+001	-3.8481465E-001	-1.888541061148183E-001	7.2673829E-005	-3.8502514E-001	0
2.0544045E+003	2.657119953546498E+001	-3.8679799E-001	-1.882774290869489E-001	7.2825329E-005	-3.8702512E-001	0
2.0746797E+003	2.677119953041256E+001	-3.8883626E-001	-1.874198915337605E-001	7.2875649E-005	-3.8902515E-001	0
2.0950269E+003	2.697119952536013E+001	-3.9079607E-001	-1.865351126938979E-001	7.2897186E-005	-3.9102519E-001	0
2.1141030E+003	2.717119952030771E+001	-3.9278892E-001	-1.857946051977357E-001	7.2978059E-005	-3.9302519E-001	0
2.1357542E+003	2.737119951525528E+001	-3.9481446E-001	-1.848595170863816E-001	7.2985211E-005	-3.9502513E-001	0
2.1549368E+003	2.757119951020286E+001	-3.9684129E-001	-1.841544894366418E-001	7.3080104E-005	-3.9702517E-001	0
2.1733511E+003	2.777119950515043E+001	-3.9879009E-001	-1.834908791177829E-001	7.3174342E-005	-3.9902520E-001	0
2.1928887E+003	2.797119950009801E+001	-4.0077528E-001	-1.827613493351605E-001	7.3246229E-005	-4.0102515E-001	0
2.2149866E+003	2.817119949504558E+001	-4.0283102E-001	-1.818661192165951E-001	7.3261312E-005	-4.0302515E-001	0
2.2374885E+003	2.837119948999316E+001	-4.0484446E-001	-1.809370055226632E-001	7.3251344E-005	-4.0502518E-001	0
2.2573047E+003	2.857119948494073E+001	-4.0681884E-001	-1.802232647568083E-001	7.3318217E-005	-4.0702513E-001	0
2.2774426E+003	2.877119947988831E+001	-4.0881959E-001	-1.795081737221054E-001	7.3386458E-005	-4.0902516E-001	0
2.2988967E+003	2.897119947483588E+001	-4.1080526E-001	-1.786967060727209E-001	7.3409545E-005	-4.1102517E-001	0
2.3194187E+003	2.917119946978346E+001	-4.1281253E-001	-1.779810237157617E-001	7.3472795E-005	-4.1302520E-001	0
2.3441865E+003	2.937119946473103E+001	-4.1491452E-001	-1.769972235859791E-001	7.3438721E-005	-4.1502514E-001	0
2.3667688E+003	2.957119945967861E+001	-4.1684330E-001	-1.761233734649070E-001	7.3415846E-005	-4.1702518E-001	0
2.3900029E+003	2.977119945462618E+001	-4.1886359E-001	-1.752565154370735E-001	7.3408577E-005	-4.1902515E-001	0
2.4127224E+003	2.997119944957376E+001	-4.2085263E-001	-1.744305998257984E-001	7.3409574E-005	-4.2102516E-001	0
2.4344377E+003	3.017119944452134E+001	-4.2287159E-001	-1.737040055951606E-001	7.3454488E-005	-4.2302516E-001	0
2.4588647E+003	3.037119943946891E+001	-4.2484704E-001	-1.727817914260723E-001	7.3405834E-005	-4.2502517E-001	0
2.4844150E+003	3.057119943441649E+001	-4.2682704E-001	-1.718018232547001E-001	7.3329662E-005	-4.2702517E-001	0
2.5092163E+003	3.077119942936406E+001	-4.2883897E-001	-1.709055446854908E-001	7.3290954E-005	-4.2902517E-001	0
2.5340842E+003	3.097119942431164E+001	-4.3081656E-001	-1.700087740231733E-001	7.3242598E-005	-4.3102518E-001	0
2.5623215E+003	3.117119941925921E+001	-4.3285930E-001	-1.689324687634196E-001	7.3123992E-005	-4.3302518E-001	0
2.5872109E+003	3.137119941420679E+001	-4.3485665E-001	-1.680793115867050E-001	7.3090407E-005	-4.3502516E-001	0
2.6124998E+003	3.157119940915436E+001	-4.3681982E-001	-1.672037711341670E-001	7.3037918E-005	-4.3702513E-001	0
2.6380520E+003	3.177119940410194E+001	-4.3883348E-001	-1.663475474437734E-001	7.2998875E-005	-4.3902516E-001	0
2.6623638E+003	3.197119939904951E+001	-4.4085693E-001	-1.655885469191656E-001	7.3000861E-005	-4.4102520E-001	0
2.6901963E+003	3.217119939399709E+001	-4.4289690E-001	-1.646336735787963E-001	7.2915747E-005	-4.4302517E-001	0
2.7168999E+003	3.237119938894466E+001	-4.4484735E-001	-1.637334349858752E-001	7.2836381E-005	-4.4502515E-001	0
2.7438645E+003	3.257119938389224E+001	-4.4683731E-001	-1.628496307782541E-001	7.2767289E-005	-4.4702518E-001	0
2.7727866E+003	3.277119937883981E+001	-4.4885311E-001	-1.618779893202150E-001	7.2659437E-005	-4.4902512E-001	0
2.7991345E+003	3.297119937378739E+001	-4.5084617E-001	-1.610662774130062E-001	7.2616116E-005	-4.5102516E-001	0
2.8260095E+003	3.317119936873496E+001	-4.5284963E-001	-1.602434912863315E-001	7.2566203E-005	-4.5302519E-001	0
2.8537332E+003	3.337119936368254E+001	-4.5489216E-001	-1.594024885714034E-001	7.2510942E-005	-4.5502517E-001	0
2.8809250E+003	3.357119935863011E+001	-4.5686108E-001	-1.585813799150744E-001	7.2449657E-005	-4.5702514E-001	0
2.9083252E+003	3.377119935357769E+001	-4.5884421E-001	-1.577692193975949E-001	7.2391493E-005	-4.5902517E-001	0
2.9388250E+003	3.397119934852526E+001	-4.6082684E-001	-1.568064950132015E-001	7.2260642E-005	-4.6102521E-001	0
2.9667463E+003	3.417119934347284E+001	-4.6286178E-001	-1.560166379850769E-001	7.2214141E-005	-4.6302515E-001	0
2.9946943E+003	3.437119933842041E+001	-4.6482131E-001	-1.552149369888216E-001	7.2147210E-005	-4.6502516E-001	0
3.0243567E+003	3.457119933336799E+001	-4.6686637E-001	-1.543688191673259E-001	7.2069612E-005	-4.6702519E-001	0
3.0545239E+003	3.477119932831556E+001	-4.6883973E-001	-1.534902858347240E-001	7.1962342E-005	-4.6902514E-001	0
3.0832983E+003	3.497119932326314E+001	-4.7088185E-001	-1.527201682909931E-001	7.1913157E-005	-4.7102517E-001	0
3.1113062E+003	3.517119931821071E+001	-4.7281826E-001	-1.519677741590320E-001	7.1853137E-005	-4.7302520E-001	0
3.1425876E+003	3.537119931315829E+001	-4.7482666E-001	-1.510941656929381E-001	7.1743540E-005	-4.7502518E-001	0
3.1688635E+003	3.557119930810586E+001	-4.7683293E-001	-1.504744252162546E-001	7.1751158E-005	-4.7702515E-001	0
3.1980806E+003	3.577119930305344E+001	-4.7882581E-001	-1.497228740779952E-001	7.1691175E-005	-4.7902516E-001	0
3.2268228E+003	3.597119929800101E+001	-4.8081931E-001	-1.490070412659819E-001	7.1645467E-005	-4.8102522E-001	0
3.2562578E+003	3.617119929294859E+001	-4.8281157E-001	-1.482719078094039E-001	7.1587390E-005	-4.8302516E-001	0
3.2866104E+003	3.637119928789616E+001	-4.8483902E-001	-1.475194688145145E-001	7.1523194E-005	-4.8502514E-001	0
3.3155999E+003	3.657119928284374E+001	-4.8685631E-001	-1.468380792372668E-001	7.1489048E-005	-4.8702517E-001	0
3.3448716E+003	3.677119927779131E+001	-4.8883727E-001	-1.461453032954392E-001	7.1441274E-005	-4.8902518E-001	0
3.3752773E+003	3.697119927273889E+001	-4.9077943E-001	-1.454041783746478E-001	7.1361377E-005	-4.9102512E-001	0
